context,decision,predicted_decision
"## Context

* Currently, the images/thumbnails inside the Storefront are not making use of any lazy loading mechanism. 
* Without a third-party extension which includes something like ""lazysizes"" it is not possible to get lazy loading images.
* Native lazy loading of images is available in current browsers, see: https://caniuse.com/?search=loading","## Decision

We will implement native lazy loading for images and thumbnails within the Storefront. This will involve adding the `loading=""lazy""` attribute to all relevant `<img>` tags.","## Decision

* We want to make use of native lazy loading for images in the Storefront without adding additional JavaScript logic."
"## Context

When using the `OneToOneAssociationField` & `ManyToOneAssociationField` associations it is possible to specify the parameter `autoload` as `true`. This causes the association to be loaded with every query, regardless of whether the data is used or not.

This is a performance issue due to unnecessary data transfer, it slows down SQL queries with extra joins, slows the application down with hydrating and data processing and finally, API payloads are larger than they need to be.","## Decision

The `autoload` parameter for `OneToOneAssociationField` and `ManyToOneAssociationField` associations **MUST NOT** be set to `true`.

Instead, associations should be loaded explicitly when needed, using methods such as `QueryBuilder::addSelect()`, `Repository::search()->addAssociation()` or similar mechanisms provided by the ORM/data access layer.

**Consequences:**

*   **Improved Performance:** Reduced database load, faster query execution, smaller application memory footprint, and more compact API payloads.
*   **Increased Developer Awareness:** Developers will need to explicitly consider when and where associated data is required, leading to more optimized queries.
*   **Potential for N+1 Queries (if not managed):** While preventing automatic eager loading, developers must be diligent in using explicit eager loading when fetching lists of entities to avoid the N+1 query problem. Tools like the ORM's association loading features or custom queries should be utilized for this purpose.
*   **Slightly More Verbose Code:** Queries will require additional calls to explicitly load associations, making the code slightly longer in some cases. However, this verbosity directly reflects the explicit intent for data retrieval.","## Decision

We will deprecate the usage of autoload === true in the core codebase in version 6.5. All usages in entity definitions should be removed by the time 6.6 is released.

We have introduced a new PHPStan rule which will check for any usages of autoload === true and fail if it finds any. The failures are currently ignored in the `phpstan.neon.dist` file until they can be fixed by the respective teams."
"## Context
Currently, our ADRs are grouped into folders according to different areas. We have added this structure to help people find their way around when they are looking for specific ADRs.

However, there are different approaches when searching for ADRs:
1) I am looking for an ADR and I know the headline.
2) I would like to read the latest ADRs
3) I would like to see ADRs for a specific area.
4) ...

The structuring by areas is good for case 3, but not for the other two. In the first case, the user can easily use the search via the directory to use the appropriate ADR, but will also get duplicate matches. Depending on the keyword the result can be quite long.

In the second case, I would like to read the latest ADRs, the user would have to go to git history, which is only possible via shell or IDE.","## Decision

We will implement a unified ADR index file (`ADR-INDEX.md`) at the root of the ADR directory. This index file will contain:

1.  **A comprehensive, chronological list of all ADRs:** Each entry will include the ADR number, title, and a direct link to the ADR file. This will address the need to easily browse all ADRs, especially for those looking for the latest ones without resorting to Git history. New ADRs will be appended to the top of this list to ensure the most recent are immediately visible.

2.  **A categorized table of contents:** This section will organize ADRs by their respective areas (folders), mirroring the existing directory structure. Each area will list its associated ADRs with links, fulfilling the need to find ADRs for a specific area.

3.  **Searchability guidance:** The index file will include a clear instruction for users on how to effectively use the repository's built-in search functionality to find ADRs by keywords, and will clarify that the chronological list can help identify recent additions.

The existing folder structure for grouping ADRs by area will be maintained as it continues to provide a useful organizational layer for browsing and managing related decisions.","## Decision

We will remove the area structure on directory level and introduce front matter in our ADRs as we already do in our changelog files. This makes it possible to extract metadata from content. Additionally, it can be used as groundwork, if we want to release our ADRs in different front-ends (handbook, dev-docs) and use the front-end's search functionalities.
With front matter and the flat file structure, you can solve all three problems described in this ADR. An example of this specific ADR would be:

```markdown
---
title: Unstructured ADRs
date: 2023-02-23
area: Product Operation #I added prod-ops because this is a workflow topic
tags: [ADR, file structure, workflow]
---
```

We also hope that this will make it easier for people to submit ADRs without being confused about which folder to put the file in."
"## Context
Our current plugin extension system for the administration is based on our Component Factory. This factory generates native Vue components at runtime based on a base Shopware component which can be extended or overwritten by plugins. This approach offers flexibility to plugin developers to modify every component. For the template part, we use Twig.JS and compile the Vue template in the client at runtime.

However, this approach has its drawbacks. We cannot use the full power of Vue and its ecosystem because everything related to Vue is wrapped with our factories and generated at runtime. We cannot use Vue tools without custom modifications, like linting template files, providing good static analysis, and more. The other downside is that upgrading Vue is challenging, and the performance suffers because we cannot precompile components.

To address these issues, we aimed to test a new idea with Vue 3, which includes all the features of the existing plugin approach, but developed using only native Vue tools. This would offer several benefits, like using the full power of Vue, better performance, better static analysis, and more.

Our main idea for the template part was to use native Vue components named sw-block that can replace the Twig.JS template part. Plugin developers can extend or overwrite the sw-block component as needed.

```html
<sw-block name=""sw-hello-world"">
<div>Hello World</div>
</sw-block>
```

For the script and logic part, we aimed to use the Composition API. Before returning all the component data and methods, we would provide a hook point for plugins so they could modify or inject everything they want.

```js
// The original component
<script setup lang=""ts"">
// Hook for providing extensibility
useExtensibility();
</script>

// The plugin component
<script lang=""ts"">
    import SwOrignal from './sw-original.vue';
    // use our extensibility helpers
    import { useComponentExtender, getPropsFromComponent } from 'sw-vue-extensbiles';
    
    const myCustomData = ref('test');
    
    export default {
        name: 'sw-extended-component',
        props: {
            ...getPropsFromComponent(SwOrignal)
        },
        setup(props, context) {
            return {
                ...useComponentExtender(SwOrignal, props, context),
                myCustomData
            }   
        }
}
</script>
```

However, during the evaluation and testing, we realized that this approach was not feasible due to several reasons. The most critical challenges were that it was hard to merge data because the Vue compiler optimizes many parts of the component, and it was not easy to pass all the data of the component to the block system to give plugin developers full access to the original component's data.

To solve these problems, we would need to use internal Vue logic, which is not update-safe and could break with every Vue update.","## Decision

We will proceed with a hybrid approach that leverages Web Components for extensibility within a primarily Vue 3 based administration system.

**Rationale:**

The initial goal of fully native Vue 3 extensibility, while ideal for developer experience and performance, proved impractical due to the complexities of merging component data and providing comprehensive access to original component data within the Vue compiler's optimized environment. Relying on internal Vue logic is an unacceptable risk for long-term maintainability and upgrade safety.

A hybrid approach, integrating Web Components for specific extensibility points, offers a robust and stable solution that addresses the identified challenges while still allowing the core administration to benefit from native Vue 3 development.

**Specifics of the Hybrid Approach:**

1.  **Core Administration in Native Vue 3:** The vast majority of the administration will be developed using native Vue 3, leveraging its full ecosystem (Composition API, SFCs, tooling, static analysis, etc.) for optimal performance and developer experience.

2.  **Web Component Extension Points:**
    *   For areas requiring plugin extensibility (e.g., adding custom sections, modifying specific UI elements, injecting custom logic), we will expose well-defined Web Component slots or elements.
    *   Plugin developers will create standard Web Components (using any framework, including Vue, React, or vanilla JS) that can be dynamically loaded and rendered into these extension points.
    *   Communication between the host Vue application and the Web Components will occur via standard Web Component APIs (e.g., attributes, properties, custom events).
    *   This approach isolates plugin concerns within the Web Component shadow DOM, preventing unintended side effects or conflicts with the host Vue application's internal workings.

3.  **Data Exchange and Context:**
    *   Data passed from the host Vue application to Web Component plugins will be explicitly defined as properties on the Web Component or through attributes.
    *   For more complex scenarios, a global event bus or a lightweight shared state management solution (e.g., Pinia for Vue-based Web Components, or a custom store) can facilitate communication.
    *   The Web Component encapsulation ensures that the data flow is explicit and controlled, avoiding the ""hard to merge data"" problem encountered with the native Vue extensibility attempt.

4.  **Benefits of this Decision:**
    *   **Vue 3 Benefits:** The core application still gains all the advantages of native Vue 3 development (performance, tooling, static analysis, easy upgrades).
    *   **Stable Extensibility:** Web Components provide a standard, framework-agnostic, and stable extensibility mechanism that is not dependent on Vue's internal logic. This ensures future compatibility and upgrade safety for both core and plugins.
    *   **Isolation:** Web Components encapsulate plugin logic, preventing CSS or JavaScript conflicts with the host application.
    *   **Framework Agnostic Plugins:** Plugin developers are not locked into Vue; they can use their preferred frontend technology to build their Web Components.
    *   **Clear Boundaries:** The contract between the host application and plugins is explicitly defined through the Web Component interface, making development and maintenance clearer.
    *   **Improved Performance:** Core components can be fully precompiled. Only the Web Components need to be dynamically loaded and rendered.

This decision prioritizes stability, maintainability, and the ability to leverage native Vue 3 benefits for the core administration, while providing a robust and future-proof extensibility model for plugins.","## Decision
After considering the challenges we faced with the proposed solution, we concluded that we couldn't find solutions without using internal Vue logic. Given this situation, we did not see any significant benefits to adopting a native Vue solution over our current plugin system, which, despite its challenges, has proven to work well for our use case.

Therefore, we decided to stick with our current plugin system for the administration until new possibilities arise in Vue that solve our problems."
"## Context
The current workflow for writing technical changelog is not very suited for a trunk based development and branching process. There are some major issues with the current workflow of using one file with a fixed version number:

*  Unnecessary merge conflicts in the changelog file
*  Uncertainty about the correct release version of the change
*  Differences between the issue state in Jira and the code state

To tackle these issues the technique for writing technical changelog and upgrade information, should be changed to a single solution, which is easy to understand and maintain by developers.","## Decision

The technical changelog and upgrade information will be managed using **""newsfragments""** (also known as ""changelog fragments"" or ""releasenotes fragments"").

Each significant change (feature, bug fix, improvement, breaking change, etc.) will have its own dedicated small text file (a ""fragment"") created by the developer as part of their feature branch or pull request. These fragments will be stored in a designated directory within the project repository (e.g., `news/`, `changelog.d/`, `releasenotes/`).

When a release is prepared, a script or tool will be used to automatically collect and concatenate these fragments, categorize them (e.g., based on filename prefix or directory), and generate the final changelog for that release. After the release, the collected fragments will be deleted or moved to an ""archive"" subdirectory for historical reference.

**Example workflow:**

1.  Developer implements a new feature.
2.  As part of the feature branch, they create a file like `news/1234.feature` (where 1234 is the Jira issue ID, and `feature` denotes the type of change).
3.  The content of `1234.feature` is a concise description of the change, intended for the changelog.
4.  Developer submits the pull request, and the fragment is reviewed along with the code.
5.  When releasing version X.Y.Z, a `releasenotes` generator tool is run:
    *   It collects all fragments from `news/`.
    *   It aggregates them into the `CHANGELOG.md` for version X.Y.Z.
    *   It removes the processed fragments.

This approach resolves the identified issues by decentralizing the changelog management until release time.","## Decision
The changelog and upgrade files for a release should be autogenerated in the build process of the release. Developers should write technical changelog and upgrade information in separate markdown files."
"## Context

The actions in Flow Builder are listening for Business Events. We want to implement the flow DelayAction in Flow Builder,
that means the actions can be delayed, and will be executed after  a set amount of time.
But we have some problems after the action was delayed:
* Events may contain old data, that data may be updated during the delay, and currently we don't have any way to restore
    the data.
* After a delay the rules have to be re-evaluated, but the data in the rules could be outdated or changed, so the rules
    have to be reloaded as well. Or the rules do not exist anymore.","## Decision

The DelayedAction will not persist any Business Event data. Instead, it will store a reference (e.g., ID or unique key) to the Business Event that triggered it. When the delay expires, the DelayedAction will retrieve the *current* state of the Business Event data and re-evaluate the relevant rules.

### Rationale

This approach directly addresses the two problems outlined in the context:

1.  **Events may contain old data:** By not persisting the event data directly, we avoid the problem of outdated information. When the delay expires, the system retrieves the latest state of the Business Event, ensuring that subsequent actions operate on fresh data. This eliminates the need for any complex data restoration mechanisms.

2.  **Rules have to be re-evaluated, but data could be outdated or changed:** Since the latest Business Event data is retrieved upon delay expiration, the rule re-evaluation will automatically occur with the most current information. This inherently handles scenarios where data has been updated. If a rule no longer exists or is invalid, the re-evaluation process will naturally fail or indicate the rule's absence, allowing the system to handle such edge cases gracefully.

### Consequences

*   **Increased Database/Service Load:** Retrieving the Business Event data upon delay expiration will incur a database read or service call. For a large number of delayed actions, this could lead to increased load on the underlying data store or services responsible for providing event data.
*   **Data Availability:** The system must guarantee that the Business Event data referenced by the ID is available and retrievable when the delay expires. If the original event or its associated data has been purged or is inaccessible, the DelayedAction will fail.
*   **Error Handling:** Robust error handling will be required for scenarios where the referenced Business Event data cannot be retrieved (e.g., event deleted, service outage). The system needs to define how to respond to such failures (e.g., retry, log, notify, skip action).
*   **Idempotency of Actions:** Actions triggered after a delay should be designed to be idempotent where possible, especially if there's a chance of re-evaluation or re-triggering due to retry mechanisms.
*   **Performance Considerations:** The time taken to retrieve the current Business Event data and re-evaluate rules needs to be considered as part of the overall execution time of the delayed action. If this process is lengthy, it could impact the responsiveness of subsequent actions.
*   **Security Implications:** Ensure that the mechanism for retrieving Business Event data respects all access control and security policies.
*   **Simplicity of Implementation:** This approach simplifies the implementation of the DelayedAction as it avoids complex data serialization/deserialization and change tracking mechanisms for event data.","## Decision

We would need to detach the Event System and the Flow System from each other, thus removing the dependency on the runtime objects within an event.
Meaning the Actions must not have access to the original Events.

We would create a class `StorableFlow`, that can store the data in the original event as scalar values, and restore the original data based on this stored data.
```php
class StorableFlow
{
    // contains the scalar values based on the original events
    // $store can be serialized and used to restore the object data
    protected array $store = [];
    
    // contains the restored object data like the data we defined in the `availableData` in original events 
    // $data can not be serialized, but can be restored from $store
    protected array $data = [];
      
    public function __construct(array $store = [], array $data = [])
    {
        $this->store = $store;
        $this->data = $data;
    }
    
    // This method will be called in each `Storer` to store the representation of data
    public function setStore(string $key, $value) {
        $this->store[$key] = $value;
    }
    
    public function getStore(string $key) {
        return $this->store[$key];
    }
    
    // After we restored the data in `Storer`, we can set the data, we'll use `$this->data` instead getter data on original event
    public function setData(string $key, $value) {
        $this->data[$key] = $value;
    }
    
    public function getData(string $key) {
        return $this->data[$key];
    }
}
```

The `StorableFlow` class will be use on Flow Builder:

Before:

```php
class FlowDispatcher 
{
    public function dispatch(Event $event) {
        ...
        // Currently, dispatch on Flow Builder use the original event to execute the Flow 
        $this->callFlowExecutor($event);
        ...
    }
}
```

After:

```php
class FlowDispatcher 
{
    public function dispatch(Event $event) {
        ...
        // The `FlowFactory` will create/restore the `StorableFlow` from original event
        $flow = $this->flowFactory->create($event);
        // use the `StorableFlow` to execute the flow builder actions instead of the original events
        $this->execute($flow);
        ...
    }
}
```

* Flow Builder actions may no longer access the original event.
* Each Aware Interface gets its own `Storer` class to restore the data of Aware, so we have many `Storer` like `OrderStorer`, `MailStorer`, `CustomerStorer` ...
* The main task of a `Storer` is to restore the data from a scalar storage.
* The `Storer` provides a store function, in order to store itself the data, in order restore the object
* The `Storer` provides a restore function to restore the object using the store data.

```php
interface FlowStorer {}
```
Example for `OrderStorer`:

```php
class OrderStorer implements FlowStorer
{
    // This function to check the original event is the instanceof Aware interface, and store the representation.
    public function store(FlowEventAware $event, array $storedData): array 
    {
        if ($event instanceof OrderAware) {
            $storedData['orderId'] = $event->getOrderId();
        }
        
        return $storedData;
    }
    
    // This function is restore the data based on representation in `storedData`
    public function restore(StorableFlow $flow): void
    {
        if ($flow->hasStore('orderId')) {
            // allows to provide a closure for lazy data loading
            // this opens the opportunity to have lazy loading for big data
            // When we load the entity, we need to add the necessary associations for each entity
            $flow->lazy('order', [$this, 'load']);    
        }
        ...
    }
}
```

About the additional data defined in `availableData` in original events, that aren't defined in any Aware Interfaces and we can't restore that data in the `Storer`.
To cover the additional data from original events, we will have another `store` `AdditionalStorer` to store those data.
```php
class AdditionalStorer extends FlowStorer
{
    public function store(FlowEventAware $event, array $storedData)
    {
        ...
        // based on the `getAvailableData` in the original event to get the type of additional data
        $additionalDataTypes = $event::getAvailableData()->toArray();
        
        foreach ($additionalDataTypes as $key => $eventData) {
            // Check if the type of data is Entity or EntityCollection
            // in the $storedData, we only store the presentation like ['id' => id, 'entity' => entity], we'll restore the data in `AdditionalStorer::restore`
            if ($eventData['type'] === 'Entity' || 'EntityCollection') {
                $storedData[$key] = [
                    'id' => $event->getId(),
                    'entity' => Entity                 
                ];
            }
            
            // Check if the type of data is ScalarValueType
            if ($eventData['type'] === ScalarValueType) {
                $storedData[$key] = value
            }
            
            // start to implement /Serializable for ObjectType
            if ($eventData['type'] === ObjectType) {
                $storedData[$key] = value->serialize()
            }
            
            ...
        }
        
        ... 
        
        return $storedData;
    }
      
    // this function  make sure we can restore the additional data from original data are not covered in `Storer`
    // The additional data can be other entity, because the entities we defined in Aware interface like `order`, `customer` ... covered be `Storer`
    public function restore(StorableFlow $flow): void
    {
        if (type === entity) {
            // About the associations for entity data, mostly the additional entity data is the base entity, we don't need to add associations for this
            $flow->setData($key, $this->load());
        } else {
            $flow->setData($key, $flow->getStore($key));
        }
        ...
    }
}
```

About the associations for entity data, mostly the additional entity data is the base entity, we don't need to add associations for this.
About the `ObjectType` data, we enforce all values used in ObjectType implement /Serializable, and serialize the object before store to `$storedData`.

* Flow Builder actions only work with the `StorableFlow` instead of the `FlowEvent`. The `StorableFlow` will restore the data from original events via `Storer`,
  and the Actions can get the data via `getData($key)` from `StorableFlow` instead of `getAvailableData` from original events.

Before, in the flow actions still dependency Aware interfaces:

```php
    public function handle(StorableFlow $event) {
        ...
        $baseEvent = $event->getEvent();
    
        if ($baseEvent instanceof CustomerAware) {
            $customerId= $baseEvent->getCustomerId();
        }
        ...
    }
```
After in the flow actions:
```php
    public function handle(StorableFlow $event) {
        ...
        if ($event->hasStore('customerId') {
            $customerId= $event->getStore('customerId');
        }
        ...
    }
```

* `getAvailableData` must NOT be responsible for the access of the data.
* To create new or restore the `StorableFlow` by on the existing stored data, we need to provider the `FlowFactory`.
```php
class FlowFactory
{    
    ...
    public function create(FlowEventAware $event)
    {
        $storedData = [];
        foreach ($this->storer as $storer) {
            // Storer are responsible to move the corresponding 
            // data from the original event 
            $storer->store($event, $storedData);
        }
        
        return $this->restore($storedData);
    }
  
    public function restore(array $stored = [], array $data = [])
    {
        $flow = new StorableFlow($stored, $data);
      
        foreach ($this->storer as $storer) {
            $storer->restore($flow);
        }
  
        return $flow;
    }
    ...
}
```
But when executing a delayed actions, we won't have a `StorableFlow`, we just have the `$stored` from the previously stored `StorableFlow`,
and based on the `$stored`, we can restore a new `StorableFlow`.

Example in Delay Actions:

```php
// In handler delay actions -> put the actions to `queue`
$stored = json_encode($flow->stored());

$connection->executeStatement('INSERT INTO `swag_delay_action` (store) VALUES (:stored)...', ['stored' => $stored]);
```

```php
// In handler execute delay actions
$stored = 'SELECT store FROM `swag_delay_action` .... ';

$flow = $this->flowFactory->restore(json_decode($stored));
```"
"## Context

We need a different extension mechanism besides the well known plugins, that works in cloud and on-prem environments in the same way.
That's why we envisioned the app system, currently publicly available as a [plugin](https://github.com/shopware/app-system).
We were able to quickly develop the app system, gather feedback and iterate over ideas without being bound to the strict release workflow of the shopware platform.
That was the reason why we started working on the app system as a plugin in the first place.

Now as the app system matured, it is time to integrate the app system back into the platform.
This has the following benefits:
* It sends the signal to partners and potential app manufacturers that the app system is stable
* Partners / app manufacturers can rely on the shopware 6 release cycle and the according upgrade process
* Users don't need to install an extra plugin in order to use apps","## Decision

The App System will be integrated directly into the Shopware 6 platform. It will no longer be distributed as a separate plugin.","## Decision

We will migrate the existing app system from the [plugin](https://github.com/shopware/app-system) into the platform. The app system will be part of the core bundle, analogous to the plugin system.
It will be moved to the `Shopware\Core\Framework\App` namespace."
"## Context
At the moment we have a bunch of different `FlowStorer` implementations. Most of them are used to store scalar values without any restore logic. Each of the Storer class has an own interface which is used to identify if the data of the event should be stored. This leads to much boilerplate code when adding new storer implementations or when plugins want to bypass some for events.","## Decision

We will introduce a generic `DataStorer` interface with a single `store(Event event)` method. Each concrete storer implementation will implement this interface. We will also introduce a `StorerRegistry` component that will manage the registration and retrieval of `DataStorer` implementations. Plugins can register their custom storers with this registry. To control which events are stored by which storer, we will implement a `StorerSelector` component. This selector will be responsible for evaluating event metadata and determining which registered `DataStorer` instances should process a given event. The `StorerSelector` will leverage a configurable rule engine or a simple mapping mechanism (e.g., event type to storer ID) to achieve this.","## Decision

We introduce a generic `ScalarValuesAware` interface which can be used to store simple values which should be simply stored and restored one to one:

```php
interface ScalarValuesAware
{
    public const STORE_VALUES = 'scalar_values';
    
    /** @return array<string, scalar|null|array> */
    public function getValues(): array;
}
```

This event can be used in different events which needs a simple storage logic:

```php
class SomeFlowAwareEvent extends Event implements ScalarStoreAware, FlowEventAware
{
    public function __construct(private readonly string $url) { }

    public function getValues(): array
    {
        return ['url' => $this->url];
    }
}
```

To store and restore this data, we provide a simple `FlowStorer` implementation:

```php

class ScalarValuesStorer extends FlowStorer
{
    public function store(FlowEventAware $event, array $stored): array
    {
        if (!$event instanceof ScalarValuesAware) return $stored

        $stored[ScalarValuesAware::STORE_VALUES] = $event->getValues();

        return $stored;
    }

    public function restore(StorableFlow $storable): void
    {
        $values = $storable->getStore(ScalarValuesAware::STORE_VALUES);
        foreach ($values as $key => $value) {
            $storable->setData($key, $value);
        }
    }
}
```"
"## Context
The current sw-text-editor in the administration has numerous low-level bugs in basic WYSIWYG features. It is built in a
way that is difficult to maintain and understand. Therefore, we require a new text editor that is easy to maintain, has
a good feature set, is flexible to extend and more stable.","## Decision

We will replace the existing `sw-text-editor` with **TinyMCE** as our new WYSIWYG text editor.

## Rationale

After evaluating several options against the defined requirements, TinyMCE emerged as the most suitable choice due to the following reasons:

*   **Maturity and Stability:** TinyMCE is a well-established and widely-used editor with a long history of development and a large community. This translates to a more stable core, fewer low-level bugs, and readily available support and documentation.
*   **Comprehensive Feature Set:** TinyMCE offers a rich out-of-the-box feature set that covers all the essential WYSIWYG functionalities required for our administration interface, addressing the current editor's shortcomings.
*   **Extensibility and Flexibility:** TinyMCE boasts a highly modular architecture and a robust plugin API, making it extremely flexible to extend with custom features and tailor to specific needs. This aligns with our requirement for an editor that is easy to extend.
*   **Maintainability:** Its clean API, extensive documentation, and active development contribute to easier integration and long-term maintenance compared to our current bespoke solution.
*   **Active Development & Community Support:** TinyMCE benefits from continuous updates and a large, active community, ensuring ongoing improvements, bug fixes, and readily available resources for troubleshooting and development.
*   **Cost-Effectiveness (Open Source Option):** The availability of a powerful open-source version of TinyMCE allows us to leverage its capabilities without immediate licensing costs, providing a cost-effective solution initially, with the option to upgrade to commercial plans if advanced features or dedicated support become necessary.

While other editors like Quill, CKEditor 5, or Slate were considered, TinyMCE presented the best balance of stability, feature richness, extensibility, and maintainability for our specific context, directly addressing the core issues of our current editor.","## Decision
Building a new text editor from scratch is not a viable option. Therefore, we have evaluated various existing text 
editors and narrowed down our options to the following:

    - CKEditor 5
    - TinyMCE
    - QuillJS
    - Prosemirror
    - TipTap V2
    - Lexical

We have decided to skip CKEditor 5 and TinyMCE because they require a license for our use case and are not 100% open
source. Prosemirror was also ruled out because it provides only a low-level API and requires much more implementation 
time than the other editors. Additionally, Lexical is not a valid option for us since it is specialized for React 
environments and has no official support for VueJS.

The remaining two editors are TipTap V2 and QuillJS. Both have similar feature sets and APIs, but we have found some 
major differences between them. The first difference is that TipTap is a headless editor, which means that it only
provides the editor logic and requires a UI implementation. QuillJS, on the other hand, is a fully featured editor that
provides a UI out of the box. In our case, it is better to use a headless editor like TipTap because we can implement 
the UI to fit our needs, especially for several edge cases that are hard to implement in QuillJS.

The second major difference is in extensibility. TipTap's API is more flexible, allowing us to implement our own
features using the existing TipTap and ProseMirror plugins or build our own plugins. In most cases, the powerful main
TipTap API can already solve most of our use cases. QuillJS, on the other hand, is not as flexible as TipTap, and its
extension system is more complicated to use.

The third big difference is in stability. We found that TipTap is more stable than QuillJS, probably because TipTap is 
built on top of ProseMirror, which is a very stable and well-tested editor. Although QuillJS is also generally stable,
other developers have reported some issues with it in the past.

Our main decision driver was the extensibility of the editor. We want a text editor that is easy to extend and allows us
to implement our own features. TipTap provides a powerful extension system that is easy to use, and we can implement our
design without overwriting an existing design of other editors. Therefore, we have decided to use TipTap as the base of
our new text editor."
"## Context
The current implementation of the salutation in Shopware 6 needs to handle cases where the salutation is not specified by the customer or administrator. To address this requirement and promote inclusivity, we have updated the default salutation to ""not_specified"" for unspecified salutations in our Shopware 6 platform.","## Decision

The default salutation for unspecified cases in Shopware 6 will be set to ""not_specified"".","## Decision
We have modified the existing salutation handling in Shopware 6 to update the default value to ""not_specified"" when the salutation is null. This decision was made based on the following considerations:

* Inclusivity: By offering a default salutation of ""not_specified"" for null values, we promote inclusivity and ensure that all customers are appropriately addressed, even when salutation data is missing.
* Customer Experience: Providing a default salutation ensures consistency in customer communications and prevents any confusion or misinterpretation when a salutation is not explicitly specified.
* Non-Deletable Default Salutation: It has been decided that the ""not_specified"" salutation, being the default value for unspecified salutations, should not be deletable by the shop owner. This ensures that there is always a fallback option available, guaranteeing a consistent experience for customers."
