context,decision,predicted_decision
"## Context

* Currently, the images/thumbnails inside the Storefront are not making use of any lazy loading mechanism. 
* Without a third-party extension which includes something like ""lazysizes"" it is not possible to get lazy loading images.
* Native lazy loading of images is available in current browsers, see: https://caniuse.com/?search=loading","## Decision 
## Decision

* We will use native lazy loading for images and iframes.
* For all `<img>` tags, a `loading=""lazy""` attribute will be added.
* For all `<iframe>` tags, a `loading=""lazy""` attribute will be added.
* In order to provide a fallback for browsers that do not yet support the `loading=""lazy""` attribute, a Javascript polyfill is included in the Theme.","## Decision

* We want to make use of native lazy loading for images in the Storefront without adding additional JavaScript logic."
"## Context

When using the `OneToOneAssociationField` & `ManyToOneAssociationField` associations it is possible to specify the parameter `autoload` as `true`. This causes the association to be loaded with every query, regardless of whether the data is used or not.

This is a performance issue due to unnecessary data transfer, it slows down SQL queries with extra joins, slows the application down with hydrating and data processing and finally, API payloads are larger than they need to be.","## Decision 
## Decision

We will remove the `autoload` parameter from the constructor of `OneToOneAssociationField` & `ManyToOneAssociationField`.
The associations will no longer be loaded by default, regardless of whether the `autoload` parameter is set to true or not.

The only way to load these associations will be to explicitly request them in the criteria using `criteria.addAssociation()`.

This will lead to a performance improvement as unnecessary data transfer, SQL joins, hydration, and data processing are avoided. API payloads will also be smaller.

**Reasoning:**

*   **Explicit is better than implicit:** Requiring explicit association loading makes the data dependencies clear and prevents unintended performance bottlenecks.
*   **Performance:** Unnecessary joins and data processing are a significant performance drain, especially in large-scale applications.
*   **API Payload Size:** Smaller payloads reduce network traffic and improve responsiveness for API consumers.
*   **Consistency:** This aligns with the general best practice of loading only the data that is truly needed.

**Backward Compatibility Impact:**

*   **Breaking Change:** This is a breaking change. Any existing code that relies on `autoload=true` for `OneToOneAssociationField` or `ManyToOneAssociationField` will need to be updated to explicitly add the association to the criteria.

**Mitigation for Breaking Change:**

*   **Documentation:** Clear documentation will be provided to inform developers about this change and how to adapt their code.
*   **Deprecation Warning (if applicable):** If possible, a deprecation warning could be introduced in a minor version before the full removal in a major version to give developers time to adapt. However, given the immediate performance benefits, a direct removal might be preferred.","## Decision

We will deprecate the usage of autoload === true in the core codebase in version 6.5. All usages in entity definitions should be removed by the time 6.6 is released.

We have introduced a new PHPStan rule which will check for any usages of autoload === true and fail if it finds any. The failures are currently ignored in the `phpstan.neon.dist` file until they can be fixed by the respective teams."
"## Context
Currently, our ADRs are grouped into folders according to different areas. We have added this structure to help people find their way around when they are looking for specific ADRs.

However, there are different approaches when searching for ADRs:
1) I am looking for an ADR and I know the headline.
2) I would like to read the latest ADRs
3) I would like to see ADRs for a specific area.
4) ...

The structuring by areas is good for case 3, but not for the other two. In the first case, the user can easily use the search via the directory to use the appropriate ADR, but will also get duplicate matches. Depending on the keyword the result can be quite long.

In the second case, I would like to read the latest ADRs, the user would have to go to git history, which is only possible via shell or IDE.","## Decision
## Decision

We have decided to move all ADR files from their respective subfolders to the root of the ADR directory.

To facilitate navigation and information retrieval, we will introduce a new ""Index"" ADR (or ""Overview"" ADR). This Index ADR will contain a comprehensive, organized list of all other ADRs. The organization within the Index ADR will cater to various use cases for searching and browsing:

1.  **Chronological Order:** The Index ADR will list all ADRs in reverse chronological order (newest first) to easily identify the latest decisions. Each entry will include the ADR's title and a brief summary.
2.  **Categorization by Area:** The Index ADR will include a section that groups ADRs by the previously used ""areas"" or relevant domains. Each area will list the ADRs belonging to it.
3.  **Tags/Keywords:** The Index ADR will include a section or an integrated tagging system that allows ADRs to be easily discoverable via keywords.
4.  **Full-Text Search:** Users can leverage the built-text search capabilities of their IDE or file system for keyword-based searches across all ADR files, including the Index ADR. This addresses the ""I know the headline"" scenario more directly.

**Rationale:**

*   **Improved Discoverability for Latest ADRs:** Listing ADRs chronologically in the Index ADR provides a quick and accessible way to see recent decisions without needing to consult Git history.
*   **Centralized Overview:** The Index ADR acts as a single point of entry and reference, reducing the need to navigate through a deeply nested directory structure.
*   **Flexibility in Organization:** The Index ADR allows for multiple ways of organizing and presenting ADRs (chronological, categorical, tagged) without physically moving the files.
*   **Simplified File Structure:** A flat file structure (all ADRs in the root) makes it easier to manage files, perform bulk operations, and avoids potential conflicts related to directory changes.
*   **Enhanced Search Experience:** While individual ADRs are still searchable, the Index ADR provides curated lists that guide users, especially when they are exploring or trying to understand a specific domain.","## Decision

We will remove the area structure on directory level and introduce front matter in our ADRs as we already do in our changelog files. This makes it possible to extract metadata from content. Additionally, it can be used as groundwork, if we want to release our ADRs in different front-ends (handbook, dev-docs) and use the front-end's search functionalities.
With front matter and the flat file structure, you can solve all three problems described in this ADR. An example of this specific ADR would be:

```markdown
---
title: Unstructured ADRs
date: 2023-02-23
area: Product Operation #I added prod-ops because this is a workflow topic
tags: [ADR, file structure, workflow]
---
```

We also hope that this will make it easier for people to submit ADRs without being confused about which folder to put the file in."
"## Context
Our current plugin extension system for the administration is based on our Component Factory. This factory generates native Vue components at runtime based on a base Shopware component which can be extended or overwritten by plugins. This approach offers flexibility to plugin developers to modify every component. For the template part, we use Twig.JS and compile the Vue template in the client at runtime.

However, this approach has its drawbacks. We cannot use the full power of Vue and its ecosystem because everything related to Vue is wrapped with our factories and generated at runtime. We cannot use Vue tools without custom modifications, like linting template files, providing good static analysis, and more. The other downside is that upgrading Vue is challenging, and the performance suffers because we cannot precompile components.

To address these issues, we aimed to test a new idea with Vue 3, which includes all the features of the existing plugin approach, but developed using only native Vue tools. This would offer several benefits, like using the full power of Vue, better performance, better static analysis, and more.

Our main idea for the template part was to use native Vue components named sw-block that can replace the Twig.JS template part. Plugin developers can extend or overwrite the sw-block component as needed.

```html
<sw-block name=""sw-hello-world"">
<div>Hello World</div>
</sw-block>
```

For the script and logic part, we aimed to use the Composition API. Before returning all the component data and methods, we would provide a hook point for plugins so they could modify or inject everything they want.

```js
// The original component
<script setup lang=""ts"">
// Hook for providing extensibility
useExtensibility();
</script>

// The plugin component
<script lang=""ts"">
    import SwOrignal from './sw-original.vue';
    // use our extensibility helpers
    import { useComponentExtender, getPropsFromComponent } from 'sw-vue-extensbiles';
    
    const myCustomData = ref('test');
    
    export default {
        name: 'sw-extended-component',
        props: {
            ...getPropsFromComponent(SwOrignal)
        },
        setup(props, context) {
            return {
                ...useComponentExtender(SwOrignal, props, context),
                myCustomData
            }   
        }
}
</script>
```

However, during the evaluation and testing, we realized that this approach was not feasible due to several reasons. The most critical challenges were that it was hard to merge data because the Vue compiler optimizes many parts of the component, and it was not easy to pass all the data of the component to the block system to give plugin developers full access to the original component's data.

To solve these problems, we would need to use internal Vue logic, which is not update-safe and could break with every Vue update.","## Decision 
## Decision
We will not proceed with the proposed plugin extension system for the administration based on native Vue 3 components (`sw-block`) and the Composition API for extensibility. The challenges identified during evaluation, specifically the difficulty in merging component data due to Vue compiler optimizations and the complexity of passing all component data to the `sw-block` system for full plugin access, are critical blockers. Solving these issues would require relying on internal Vue logic, which is not update-safe and introduces significant maintenance risks.

Instead, we will continue to explore alternative approaches for a Vue 3-based plugin extension system that can achieve the desired benefits (full Vue power, better performance, better static analysis) while maintaining a stable and upgrade-safe architecture. Future proposals should address the identified data merging and access challenges without resorting to internal Vue APIs.","## Decision
After considering the challenges we faced with the proposed solution, we concluded that we couldn't find solutions without using internal Vue logic. Given this situation, we did not see any significant benefits to adopting a native Vue solution over our current plugin system, which, despite its challenges, has proven to work well for our use case.

Therefore, we decided to stick with our current plugin system for the administration until new possibilities arise in Vue that solve our problems."
"## Context
The current workflow for writing technical changelog is not very suited for a trunk based development and branching process. There are some major issues with the current workflow of using one file with a fixed version number:

*  Unnecessary merge conflicts in the changelog file
*  Uncertainty about the correct release version of the change
*  Differences between the issue state in Jira and the code state

To tackle these issues the technique for writing technical changelog and upgrade information, should be changed to a single solution, which is easy to understand and maintain by developers.","## Decision 
## Decision
We will use a new technique to write technical changelog, upgrade information and feature flags for all new features and bugfixes. Each new feature, bugfix and upgrade information will be recorded in a new file within the changelog directory. These files will be named after the issue key of the corresponding Jira ticket and are written in markdown. This has the following advantages:

*  No more merge conflicts in the changelog file
*  Easy to understand and maintain
*  Clear mapping between Jira issues and changelog entries
*  Trunk based development and branching process support
*  The changelog can be generated automatically from the files","## Decision
The changelog and upgrade files for a release should be autogenerated in the build process of the release. Developers should write technical changelog and upgrade information in separate markdown files."
"## Context

The actions in Flow Builder are listening for Business Events. We want to implement the flow DelayAction in Flow Builder,
that means the actions can be delayed, and will be executed after  a set amount of time.
But we have some problems after the action was delayed:
* Events may contain old data, that data may be updated during the delay, and currently we don't have any way to restore
    the data.
* After a delay the rules have to be re-evaluated, but the data in the rules could be outdated or changed, so the rules
    have to be reloaded as well. Or the rules do not exist anymore.","## Decision
## Decision

To address the challenges of outdated data and rule re-evaluation after a `DelayAction` in Flow Builder, we will implement the following:

1.  **Event Data Refresh Strategy:**
    *   **Identify the Root Entity:** For each business event, determine the primary entity (or set of entities) that the event data represents. This will typically be the entity whose state is most critical for the delayed actions.
    *   **Store Entity Identifiers:** When a `DelayAction` is initiated, instead of storing the entire event payload, we will store the **identifiers** (e.g., UUIDs) of the root entities involved in the event. This prevents holding onto potentially stale data.
    *   **Re-hydrate Data on Execution:** When the `DelayAction`'s delay period expires and the subsequent actions are to be executed:
        *   The system will use the stored entity identifiers to fetch the *latest* state of those entities from the database.
        *   This fresh data will then be used to construct a new, up-to-date event payload for the delayed actions.
    *   **Handle Missing Entities:** If an entity identified by a stored ID no longer exists (e.g., it was deleted during the delay), the system should have a defined failure or skip strategy for the subsequent actions, logging the issue appropriately.

2.  **Rule Re-evaluation and Reloading:**
    *   **Store Rule Identifiers:** Similar to event data, when a `DelayAction` is initiated and rules are associated with the subsequent actions, we will store the **identifiers** of those rules (e.g., Rule IDs).
    *   **Re-evaluate Rules with Latest Data:** When the `DelayAction`'s delay period expires and the subsequent actions are to be executed:
        *   The system will fetch the *latest* version of the identified rules from the rule management system.
        *   The rules will then be re-evaluated using the *freshly re-hydrated event data* obtained from the Event Data Refresh Strategy (point 1).
    *   **Handle Deleted/Invalidated Rules:**
        *   If a rule identified by a stored ID no longer exists or has been marked as invalid, the system should treat that specific rule as no longer applicable. Depending on the flow's logic, this might mean skipping actions dependent on that rule or continuing with other valid rules.
        *   Implement robust logging to alert administrators about rules that become invalid or are deleted during a delay period.
    *   **Rule Versioning (Future Consideration):** For more advanced scenarios, consider implementing rule versioning. If a rule's definition changes significantly, the system could optionally enforce re-evaluation against a specific *version* of the rule that was active when the delay was initiated, or always use the *latest* version based on flow configuration. For the initial implementation, always using the latest version of the rule is sufficient.

This approach ensures that delayed actions operate on the most current state of the system and rules, minimizing the impact of data and rule changes during the delay period.","## Decision

We would need to detach the Event System and the Flow System from each other, thus removing the dependency on the runtime objects within an event.
Meaning the Actions must not have access to the original Events.

We would create a class `StorableFlow`, that can store the data in the original event as scalar values, and restore the original data based on this stored data.
```php
class StorableFlow
{
    // contains the scalar values based on the original events
    // $store can be serialized and used to restore the object data
    protected array $store = [];
    
    // contains the restored object data like the data we defined in the `availableData` in original events 
    // $data can not be serialized, but can be restored from $store
    protected array $data = [];
      
    public function __construct(array $store = [], array $data = [])
    {
        $this->store = $store;
        $this->data = $data;
    }
    
    // This method will be called in each `Storer` to store the representation of data
    public function setStore(string $key, $value) {
        $this->store[$key] = $value;
    }
    
    public function getStore(string $key) {
        return $this->store[$key];
    }
    
    // After we restored the data in `Storer`, we can set the data, we'll use `$this->data` instead getter data on original event
    public function setData(string $key, $value) {
        $this->data[$key] = $value;
    }
    
    public function getData(string $key) {
        return $this->data[$key];
    }
}
```

The `StorableFlow` class will be use on Flow Builder:

Before:

```php
class FlowDispatcher 
{
    public function dispatch(Event $event) {
        ...
        // Currently, dispatch on Flow Builder use the original event to execute the Flow 
        $this->callFlowExecutor($event);
        ...
    }
}
```

After:

```php
class FlowDispatcher 
{
    public function dispatch(Event $event) {
        ...
        // The `FlowFactory` will create/restore the `StorableFlow` from original event
        $flow = $this->flowFactory->create($event);
        // use the `StorableFlow` to execute the flow builder actions instead of the original events
        $this->execute($flow);
        ...
    }
}
```

* Flow Builder actions may no longer access the original event.
* Each Aware Interface gets its own `Storer` class to restore the data of Aware, so we have many `Storer` like `OrderStorer`, `MailStorer`, `CustomerStorer` ...
* The main task of a `Storer` is to restore the data from a scalar storage.
* The `Storer` provides a store function, in order to store itself the data, in order restore the object
* The `Storer` provides a restore function to restore the object using the store data.

```php
interface FlowStorer {}
```
Example for `OrderStorer`:

```php
class OrderStorer implements FlowStorer
{
    // This function to check the original event is the instanceof Aware interface, and store the representation.
    public function store(FlowEventAware $event, array $storedData): array 
    {
        if ($event instanceof OrderAware) {
            $storedData['orderId'] = $event->getOrderId();
        }
        
        return $storedData;
    }
    
    // This function is restore the data based on representation in `storedData`
    public function restore(StorableFlow $flow): void
    {
        if ($flow->hasStore('orderId')) {
            // allows to provide a closure for lazy data loading
            // this opens the opportunity to have lazy loading for big data
            // When we load the entity, we need to add the necessary associations for each entity
            $flow->lazy('order', [$this, 'load']);    
        }
        ...
    }
}
```

About the additional data defined in `availableData` in original events, that aren't defined in any Aware Interfaces and we can't restore that data in the `Storer`.
To cover the additional data from original events, we will have another `store` `AdditionalStorer` to store those data.
```php
class AdditionalStorer extends FlowStorer
{
    public function store(FlowEventAware $event, array $storedData)
    {
        ...
        // based on the `getAvailableData` in the original event to get the type of additional data
        $additionalDataTypes = $event::getAvailableData()->toArray();
        
        foreach ($additionalDataTypes as $key => $eventData) {
            // Check if the type of data is Entity or EntityCollection
            // in the $storedData, we only store the presentation like ['id' => id, 'entity' => entity], we'll restore the data in `AdditionalStorer::restore`
            if ($eventData['type'] === 'Entity' || 'EntityCollection') {
                $storedData[$key] = [
                    'id' => $event->getId(),
                    'entity' => Entity                 
                ];
            }
            
            // Check if the type of data is ScalarValueType
            if ($eventData['type'] === ScalarValueType) {
                $storedData[$key] = value
            }
            
            // start to implement /Serializable for ObjectType
            if ($eventData['type'] === ObjectType) {
                $storedData[$key] = value->serialize()
            }
            
            ...
        }
        
        ... 
        
        return $storedData;
    }
      
    // this function  make sure we can restore the additional data from original data are not covered in `Storer`
    // The additional data can be other entity, because the entities we defined in Aware interface like `order`, `customer` ... covered be `Storer`
    public function restore(StorableFlow $flow): void
    {
        if (type === entity) {
            // About the associations for entity data, mostly the additional entity data is the base entity, we don't need to add associations for this
            $flow->setData($key, $this->load());
        } else {
            $flow->setData($key, $flow->getStore($key));
        }
        ...
    }
}
```

About the associations for entity data, mostly the additional entity data is the base entity, we don't need to add associations for this.
About the `ObjectType` data, we enforce all values used in ObjectType implement /Serializable, and serialize the object before store to `$storedData`.

* Flow Builder actions only work with the `StorableFlow` instead of the `FlowEvent`. The `StorableFlow` will restore the data from original events via `Storer`,
  and the Actions can get the data via `getData($key)` from `StorableFlow` instead of `getAvailableData` from original events.

Before, in the flow actions still dependency Aware interfaces:

```php
    public function handle(StorableFlow $event) {
        ...
        $baseEvent = $event->getEvent();
    
        if ($baseEvent instanceof CustomerAware) {
            $customerId= $baseEvent->getCustomerId();
        }
        ...
    }
```
After in the flow actions:
```php
    public function handle(StorableFlow $event) {
        ...
        if ($event->hasStore('customerId') {
            $customerId= $event->getStore('customerId');
        }
        ...
    }
```

* `getAvailableData` must NOT be responsible for the access of the data.
* To create new or restore the `StorableFlow` by on the existing stored data, we need to provider the `FlowFactory`.
```php
class FlowFactory
{    
    ...
    public function create(FlowEventAware $event)
    {
        $storedData = [];
        foreach ($this->storer as $storer) {
            // Storer are responsible to move the corresponding 
            // data from the original event 
            $storer->store($event, $storedData);
        }
        
        return $this->restore($storedData);
    }
  
    public function restore(array $stored = [], array $data = [])
    {
        $flow = new StorableFlow($stored, $data);
      
        foreach ($this->storer as $storer) {
            $storer->restore($flow);
        }
  
        return $flow;
    }
    ...
}
```
But when executing a delayed actions, we won't have a `StorableFlow`, we just have the `$stored` from the previously stored `StorableFlow`,
and based on the `$stored`, we can restore a new `StorableFlow`.

Example in Delay Actions:

```php
// In handler delay actions -> put the actions to `queue`
$stored = json_encode($flow->stored());

$connection->executeStatement('INSERT INTO `swag_delay_action` (store) VALUES (:stored)...', ['stored' => $stored]);
```

```php
// In handler execute delay actions
$stored = 'SELECT store FROM `swag_delay_action` .... ';

$flow = $this->flowFactory->restore(json_decode($stored));
```"
"## Context

We need a different extension mechanism besides the well known plugins, that works in cloud and on-prem environments in the same way.
That's why we envisioned the app system, currently publicly available as a [plugin](https://github.com/shopware/app-system).
We were able to quickly develop the app system, gather feedback and iterate over ideas without being bound to the strict release workflow of the shopware platform.
That was the reason why we started working on the app system as a plugin in the first place.

Now as the app system matured, it is time to integrate the app system back into the platform.
This has the following benefits:
* It sends the signal to partners and potential app manufacturers that the app system is stable
* Partners / app manufacturers can rely on the shopware 6 release cycle and the according upgrade process
* Users don't need to install an extra plugin in order to use apps","## Decision 
## Decision

The app system will be moved from the `shopware/app-system` plugin into the `shopware/platform` repository.
This means:
* The plugin will be deprecated and will receive no further updates or support.
* The code will be integrated into the core of Shopware 6.
* Future development and maintenance of the app system will happen directly within `shopware/platform`.
* The app system will be subject to the same release cycle and upgrade process as the rest of Shopware 6.

This decision reflects the maturity of the app system and aims to provide a more stable and reliable experience for partners, app manufacturers, and users.","## Decision

We will migrate the existing app system from the [plugin](https://github.com/shopware/app-system) into the platform. The app system will be part of the core bundle, analogous to the plugin system.
It will be moved to the `Shopware\Core\Framework\App` namespace."
"## Context
At the moment we have a bunch of different `FlowStorer` implementations. Most of them are used to store scalar values without any restore logic. Each of the Storer class has an own interface which is used to identify if the data of the event should be stored. This leads to much boilerplate code when adding new storer implementations or when plugins want to bypass some for events.","## Decision

### Decision

1.  **Introduce a Generic `FlowStorer` Interface:**
    Define a single, generic `FlowStorer` interface that can handle various types of data without requiring specific scalar value methods. This interface should provide methods for `store(key, value)` and `retrieve(key)` (or similar).

2.  **Standardize Event Data Structure for Storage:**
    Events that intend to be stored should contain a standardized data structure (e.g., a map or a dedicated DTO) that encapsulates the data to be persisted. This eliminates the need for each `FlowStorer` implementation to define its own interface for identifying data.

3.  **Implement a `StoreService` (or `FlowStoreManager`):**
    Create a central service responsible for orchestrating storage. This service would:
    *   Inject all available `FlowStorer` implementations.
    *   Receive events and the data they wish to store.
    *   Determine (via configuration or an event-specific flag/interface) which `FlowStorer` implementations are relevant for a given event and its data.
    *   Delegate the storage operation to the appropriate `FlowStorer(s)`.

4.  **Simplify Plugin Integration:**
    Plugins can register their custom `FlowStorer` implementations with the `StoreService`. To bypass storage for specific events, they can configure the `StoreService` or modify the event's data structure to indicate that it should not be stored by certain storers.

5.  **Refactor Existing `FlowStorer` Implementations:**
    Rewrite existing `FlowStorer` implementations to conform to the new generic interface and utilize the `StoreService`.

### Rationale

*   **Reduced Boilerplate:** A single generic `FlowStorer` interface and a central `StoreService` dramatically reduce the need for repetitive interface definitions and logic across multiple storer implementations.
*   **Improved Extensibility:** Adding new storer implementations becomes much simpler, as they only need to implement the generic interface and be registered with the `StoreService`.
*   **Easier Plugin Development:** Plugins can more easily integrate custom storage logic or control existing storage behaviors without deep modifications to core event handling.
*   **Centralized Control:** The `StoreService` provides a single point of control for managing storage concerns, making it easier to audit, configure, and troubleshoot.
*   **Clearer Responsibility:** Separating the concerns of *what* to store (event data structure), *how* to store (generic `FlowStorer`), and *who* stores it ( `StoreService`) leads to a more maintainable architecture.
*   **Decoupling:** Events no longer directly ""know"" about specific `FlowStorer` types; they simply provide data that *can* be stored, and the `StoreService` handles the storage logistics.","## Decision

We introduce a generic `ScalarValuesAware` interface which can be used to store simple values which should be simply stored and restored one to one:

```php
interface ScalarValuesAware
{
    public const STORE_VALUES = 'scalar_values';
    
    /** @return array<string, scalar|null|array> */
    public function getValues(): array;
}
```

This event can be used in different events which needs a simple storage logic:

```php
class SomeFlowAwareEvent extends Event implements ScalarStoreAware, FlowEventAware
{
    public function __construct(private readonly string $url) { }

    public function getValues(): array
    {
        return ['url' => $this->url];
    }
}
```

To store and restore this data, we provide a simple `FlowStorer` implementation:

```php

class ScalarValuesStorer extends FlowStorer
{
    public function store(FlowEventAware $event, array $stored): array
    {
        if (!$event instanceof ScalarValuesAware) return $stored

        $stored[ScalarValuesAware::STORE_VALUES] = $event->getValues();

        return $stored;
    }

    public function restore(StorableFlow $storable): void
    {
        $values = $storable->getStore(ScalarValuesAware::STORE_VALUES);
        foreach ($values as $key => $value) {
            $storable->setData($key, $value);
        }
    }
}
```"
"## Context
The current sw-text-editor in the administration has numerous low-level bugs in basic WYSIWYG features. It is built in a
way that is difficult to maintain and understand. Therefore, we require a new text editor that is easy to maintain, has
a good feature set, is flexible to extend and more stable.","## Decision 
## Decision
For the new administration text editor, we will migrate from sw-text-editor to [TipTap v2](https://www.tiptap.dev/) for
the following reasons:

*   TipTap is a wrapper around [ProseMirror](https://prosemirror.net/), which handles a lot of the low-level editor-related bugs and quirks.
*   TipTap has a very good extension system. The most basic text editor functionality is split into multiple small
    extensions. We can add more extensions from the TipTap ecosystem or build custom extensions for our needs.
*   TipTap is framework agnostic. This means we can integrate it into our Vue 2 applications but it's also prepared
    for a future Vue 3 migration.
*   TipTap uses the [MIT license](https://github.com/ueberdosis/tiptap/blob/main/LICENSE) and is free to use.","## Decision
Building a new text editor from scratch is not a viable option. Therefore, we have evaluated various existing text 
editors and narrowed down our options to the following:

    - CKEditor 5
    - TinyMCE
    - QuillJS
    - Prosemirror
    - TipTap V2
    - Lexical

We have decided to skip CKEditor 5 and TinyMCE because they require a license for our use case and are not 100% open
source. Prosemirror was also ruled out because it provides only a low-level API and requires much more implementation 
time than the other editors. Additionally, Lexical is not a valid option for us since it is specialized for React 
environments and has no official support for VueJS.

The remaining two editors are TipTap V2 and QuillJS. Both have similar feature sets and APIs, but we have found some 
major differences between them. The first difference is that TipTap is a headless editor, which means that it only
provides the editor logic and requires a UI implementation. QuillJS, on the other hand, is a fully featured editor that
provides a UI out of the box. In our case, it is better to use a headless editor like TipTap because we can implement 
the UI to fit our needs, especially for several edge cases that are hard to implement in QuillJS.

The second major difference is in extensibility. TipTap's API is more flexible, allowing us to implement our own
features using the existing TipTap and ProseMirror plugins or build our own plugins. In most cases, the powerful main
TipTap API can already solve most of our use cases. QuillJS, on the other hand, is not as flexible as TipTap, and its
extension system is more complicated to use.

The third big difference is in stability. We found that TipTap is more stable than QuillJS, probably because TipTap is 
built on top of ProseMirror, which is a very stable and well-tested editor. Although QuillJS is also generally stable,
other developers have reported some issues with it in the past.

Our main decision driver was the extensibility of the editor. We want a text editor that is easy to extend and allows us
to implement our own features. TipTap provides a powerful extension system that is easy to use, and we can implement our
design without overwriting an existing design of other editors. Therefore, we have decided to use TipTap as the base of
our new text editor."
"## Context
The current implementation of the salutation in Shopware 6 needs to handle cases where the salutation is not specified by the customer or administrator. To address this requirement and promote inclusivity, we have updated the default salutation to ""not_specified"" for unspecified salutations in our Shopware 6 platform.","## Decision 
## Decision

The default salutation for unspecified salutations in Shopware 6 will be updated to ""not_specified"".
This will ensure that the system handles cases where the salutation is not explicitly provided by the customer or administrator, promoting inclusivity and a consistent user experience.

This change will primarily impact areas of the platform where salutations are displayed or processed, such as:

*   **Customer registration forms:** If no salutation is chosen, ""not_specified"" will be the default.
*   **Customer profiles:** Existing customers with no specified salutation will display ""not_specified"".
*   **Communication templates (emails, documents):** Placeholder for salutation will render ""not_specified"" if the actual salutation is missing.
*   **API responses:** When retrieving customer data, the `salutation` field will return ""not_specified"" if not otherwise set.

**Implementation details:**

*   A new default salutation entity with the technical name ""not_specified"" will be added to the database during installation or update.
*   Relevant application logic will be updated to use ""not_specified"" as the fallback when a salutation is null or empty.
*   The ""not_specified"" salutation should be translatable to allow for appropriate display in different languages.
*   User interfaces (e.g., in the administration panel) that allow selecting salutations should offer ""not_specified"" as an option, possibly labeled as ""Prefer not to say"" or ""No salutation"".","## Decision
We have modified the existing salutation handling in Shopware 6 to update the default value to ""not_specified"" when the salutation is null. This decision was made based on the following considerations:

* Inclusivity: By offering a default salutation of ""not_specified"" for null values, we promote inclusivity and ensure that all customers are appropriately addressed, even when salutation data is missing.
* Customer Experience: Providing a default salutation ensures consistency in customer communications and prevents any confusion or misinterpretation when a salutation is not explicitly specified.
* Non-Deletable Default Salutation: It has been decided that the ""not_specified"" salutation, being the default value for unspecified salutations, should not be deletable by the shop owner. This ensures that there is always a fallback option available, guaranteeing a consistent experience for customers."
