context,decision,predicted_decision
"## Context

* Currently, the images/thumbnails inside the Storefront are not making use of any lazy loading mechanism. 
* Without a third-party extension which includes something like ""lazysizes"" it is not possible to get lazy loading images.
* Native lazy loading of images is available in current browsers, see: https://caniuse.com/?search=loading","## Decision 
We will implement native browser lazy loading for images and thumbnails in the Storefront.

This will be accomplished by adding the `loading=""lazy""` attribute to the relevant `<img>` HTML tags.

This approach is chosen because:
1.  It leverages a modern, native browser feature, which eliminates the need for third-party JavaScript libraries (like ""lazysizes"") and their associated maintenance and performance overhead.
2.  Browser support is now widespread enough to be considered a viable default solution for our target audience.
3.  It directly addresses the performance issue of loading all images on initial page load, improving the user experience, especially on image-heavy pages.","## Decision

* We want to make use of native lazy loading for images in the Storefront without adding additional JavaScript logic."
"## Context

When using the `OneToOneAssociationField` & `ManyToOneAssociationField` associations it is possible to specify the parameter `autoload` as `true`. This causes the association to be loaded with every query, regardless of whether the data is used or not.

This is a performance issue due to unnecessary data transfer, it slows down SQL queries with extra joins, slows the application down with hydrating and data processing and finally, API payloads are larger than they need to be.","## Decision
The `autoload` parameter on `OneToOneAssociationField` and `ManyToOneAssociationField` will be deprecated and its default value will be changed to `false`. In a future major version, the parameter will be removed entirely.

All associations will need to be explicitly loaded when required. This will be accomplished by adding the association path to the `Criteria` object for the query.

### Consequences
-   **Improved Performance:** Queries will be faster by default as they will no longer perform expensive and unnecessary JOIN operations.
-   **Reduced Data Transfer:** Less data will be transferred from the database to the application and from the application to the client, resulting in lower memory usage and smaller API payloads.
-   **Explicit Control:** Developers will have explicit control over the data they fetch. This makes code easier to reason about and prevents hidden performance issues, such as N+1 query problems that `autoload` could conceal.
-   **Migration Path:** Existing uses of `autoload: true` will trigger a deprecation warning, guiding developers to update their code to use explicit association loading. This provides a clear path for migration before the feature is fully removed.","## Decision

We will deprecate the usage of autoload === true in the core codebase in version 6.5. All usages in entity definitions should be removed by the time 6.6 is released.

We have introduced a new PHPStan rule which will check for any usages of autoload === true and fail if it finds any. The failures are currently ignored in the `phpstan.neon.dist` file until they can be fixed by the respective teams."
"## Context
Currently, our ADRs are grouped into folders according to different areas. We have added this structure to help people find their way around when they are looking for specific ADRs.

However, there are different approaches when searching for ADRs:
1) I am looking for an ADR and I know the headline.
2) I would like to read the latest ADRs
3) I would like to see ADRs for a specific area.
4) ...

The structuring by areas is good for case 3, but not for the other two. In the first case, the user can easily use the search via the directory to use the appropriate ADR, but will also get duplicate matches. Depending on the keyword the result can be quite long.

In the second case, I would like to read the latest ADRs, the user would have to go to git history, which is only possible via shell or IDE.","## Decision
We will adopt a flat directory structure for ADRs, using a sequential numbering scheme and a central index file to facilitate discovery.

All ADRs will be moved to a single `/adr` directory. The folder structure for grouping by area will be removed.

The new file naming convention will be `NNN-title-in-kebab-case.md`, where `NNN` is a zero-padded, sequential number (e.g., `001`, `002`). This ensures that a simple alphabetical sort of the directory listing will also be a chronological sort.

To address the need for discovery by topic/area, we will take two actions:
1.  We will maintain a central index file, `adr/README.md`. This file will list all ADRs in chronological order, along with their title and current status (Proposed, Accepted, Rejected, Superseded). This directly solves the ""find the latest ADRs"" use case.
2.  Each ADR will contain metadata, such as `Tags` or `Area`, within the document itself. This allows for simple text-based searching within the `/adr` directory to find all documents related to a specific topic (e.g., searching for ""Area: Persistence"").

### Consequences
- **Positive:**
    - Finding the latest ADR becomes trivial by looking at the highest numbered file or the bottom of the index file.
    - Searching for a specific ADR by title is simplified, as the search is constrained to a single directory.
    - Discovery by area is still possible via text search on the metadata inside the files.
    - The process of creating a new ADR is simpler: just take the next available number, without having to decide which folder to place it in.

- **Negative:**
    - There will be a one-time effort to migrate all existing ADRs to the new naming convention and location.
    - All existing links to ADRs (within other ADRs or in other documentation) will need to be updated.
    - The `adr/README.md` index file must be manually updated when a new ADR is added or its status changes, adding a small amount of process overhead.","## Decision

We will remove the area structure on directory level and introduce front matter in our ADRs as we already do in our changelog files. This makes it possible to extract metadata from content. Additionally, it can be used as groundwork, if we want to release our ADRs in different front-ends (handbook, dev-docs) and use the front-end's search functionalities.
With front matter and the flat file structure, you can solve all three problems described in this ADR. An example of this specific ADR would be:

```markdown
---
title: Unstructured ADRs
date: 2023-02-23
area: Product Operation #I added prod-ops because this is a workflow topic
tags: [ADR, file structure, workflow]
---
```

We also hope that this will make it easier for people to submit ADRs without being confused about which folder to put the file in."
"## Context
Our current plugin extension system for the administration is based on our Component Factory. This factory generates native Vue components at runtime based on a base Shopware component which can be extended or overwritten by plugins. This approach offers flexibility to plugin developers to modify every component. For the template part, we use Twig.JS and compile the Vue template in the client at runtime.

However, this approach has its drawbacks. We cannot use the full power of Vue and its ecosystem because everything related to Vue is wrapped with our factories and generated at runtime. We cannot use Vue tools without custom modifications, like linting template files, providing good static analysis, and more. The other downside is that upgrading Vue is challenging, and the performance suffers because we cannot precompile components.

To address these issues, we aimed to test a new idea with Vue 3, which includes all the features of the existing plugin approach, but developed using only native Vue tools. This would offer several benefits, like using the full power of Vue, better performance, better static analysis, and more.

Our main idea for the template part was to use native Vue components named sw-block that can replace the Twig.JS template part. Plugin developers can extend or overwrite the sw-block component as needed.

```html
<sw-block name=""sw-hello-world"">
<div>Hello World</div>
</sw-block>
```

For the script and logic part, we aimed to use the Composition API. Before returning all the component data and methods, we would provide a hook point for plugins so they could modify or inject everything they want.

```js
// The original component
<script setup lang=""ts"">
// Hook for providing extensibility
useExtensibility();
</script>

// The plugin component
<script lang=""ts"">
    import SwOrignal from './sw-original.vue';
    // use our extensibility helpers
    import { useComponentExtender, getPropsFromComponent } from 'sw-vue-extensbiles';
    
    const myCustomData = ref('test');
    
    export default {
        name: 'sw-extended-component',
        props: {
            ...getPropsFromComponent(SwOrignal)
        },
        setup(props, context) {
            return {
                ...useComponentExtender(SwOrignal, props, context),
                myCustomData
            }   
        }
}
</script>
```

However, during the evaluation and testing, we realized that this approach was not feasible due to several reasons. The most critical challenges were that it was hard to merge data because the Vue compiler optimizes many parts of the component, and it was not easy to pass all the data of the component to the block system to give plugin developers full access to the original component's data.

To solve these problems, we would need to use internal Vue logic, which is not update-safe and could break with every Vue update.","## Decision 
We have decided to reject the proposed native Vue 3 extensibility model based on `<sw-block>` and Composition API hooks.
During our evaluation and prototyping phase, we discovered that this approach is not technically feasible without introducing significant risks. The key reasons for this decision are:

1.  **Compiler Optimizations:** The Vue compiler heavily optimizes components during the build process. This makes it very difficult to reliably access and merge data from an original component into an extending plugin component, as many internal variables and states are not exposed in a stable way.
2.  **Data Scoping Issues:** It was not possible to cleanly and completely pass the full data scope of the original component to the `<sw-block>` system. This would limit the power of plugins, as they would not have full access to the context of the component they are extending.
3.  **Reliance on Internal APIs:** The only potential solutions to the problems above would require us to hook into internal, undocumented Vue logic. This is not update-safe and would make our system extremely brittle, likely breaking with minor Vue version updates.

Therefore, we will continue to use the existing Component Factory and Twig.JS-based system for the time being.

### Consequences 
-   **Positive:** We avoid building a fragile and high-risk system that is tightly coupled to Vue's internal implementation. This ensures greater stability and makes future Vue updates more predictable.
-   **Negative:** The original problems that motivated this investigation remain unsolved:
    -   **Performance:** The administration will not benefit from the performance improvements of pre-compiled Vue components.
    -   **Developer Experience:** Plugin developers cannot use the full native Vue ecosystem (e.g., template linting, static analysis) and must continue working with our custom factory abstractions.
    -   **Upgradability:** Major Vue version upgrades will likely remain a significant and complex undertaking.
-   **Future Work:** Further research is required to find a viable alternative that meets our goals for performance, developer experience, and extensibility without introducing unacceptable technical risk.","## Decision
After considering the challenges we faced with the proposed solution, we concluded that we couldn't find solutions without using internal Vue logic. Given this situation, we did not see any significant benefits to adopting a native Vue solution over our current plugin system, which, despite its challenges, has proven to work well for our use case.

Therefore, we decided to stick with our current plugin system for the administration until new possibilities arise in Vue that solve our problems."
"## Context
The current workflow for writing technical changelog is not very suited for a trunk based development and branching process. There are some major issues with the current workflow of using one file with a fixed version number:

*  Unnecessary merge conflicts in the changelog file
*  Uncertainty about the correct release version of the change
*  Differences between the issue state in Jira and the code state

To tackle these issues the technique for writing technical changelog and upgrade information, should be changed to a single solution, which is easy to understand and maintain by developers.","## Decision 
We will adopt a 'changelog fragment' workflow for managing technical changelogs and upgrade notes. Instead of developers editing a single, shared changelog file, each pull request that introduces a user-facing or technical change will include a new, small file in a dedicated directory.

The workflow will be as follows:
1.  **For Developers:**
    *   As part of a feature or bugfix, the developer will create a new file in a `.changelog/unreleased/` directory.
    *   The file will be named according to the corresponding issue tracker key (e.g., `JIRA-123.yml`).
    *   The file will contain structured data, including the changelog message, the type of change (e.g., `feature`, `fix`, `breaking-change`, `docs`), and any detailed upgrade instructions.
    *   This fragment file is committed and reviewed as part of the same pull request as the code it describes.

2.  **For Release Managers:**
    *   During the release process, an automated script will collect all the fragment files from the `.changelog/unreleased/` directory.
    *   The script will aggregate these fragments, group them by change type, and prepend them to the main `CHANGELOG.md` file under the new version header.
    *   Once the `CHANGELOG.md` is successfully updated, the script will delete the processed fragment files.

This approach directly solves the stated problems:
*   **Eliminates Merge Conflicts:** Since each change adds a new, uniquely named file, there will be no concurrent modification of a single changelog file.
*   **Removes Version Uncertainty:** Developers do not need to know the upcoming release version; they simply add a fragment to the ""unreleased"" collection.
*   **Improves Traceability:** The changelog entry is created and reviewed with the code, ensuring the context is not lost and the description accurately reflects the change.","## Decision
The changelog and upgrade files for a release should be autogenerated in the build process of the release. Developers should write technical changelog and upgrade information in separate markdown files."
"## Context

The actions in Flow Builder are listening for Business Events. We want to implement the flow DelayAction in Flow Builder,
that means the actions can be delayed, and will be executed after  a set amount of time.
But we have some problems after the action was delayed:
* Events may contain old data, that data may be updated during the delay, and currently we don't have any way to restore
    the data.
* After a delay the rules have to be re-evaluated, but the data in the rules could be outdated or changed, so the rules
    have to be reloaded as well. Or the rules do not exist anymore.","## Decision
We will implement the `DelayAction` by adopting a ""re-evaluation"" strategy. Instead of queuing an action with its original data, we will queue a lightweight message containing only the necessary context and identifiers to re-fetch data and re-evaluate the triggering rule after the delay period has passed.

The workflow will be as follows:

1.  **Queuing the Delayed Action:**
    *   When the Flow Builder encounters a `DelayAction`, it will not queue the subsequent action directly.
    *   Instead, it will construct a ""delayed job"" payload. This payload will **not** contain the full business event data. It will only contain:
        *   **Primary Identifiers:** The unique IDs of the core entities involved in the event (e.g., `customerId`, `orderId`).
        *   **Rule Context:** An identifier for the specific rule or flow that needs to be re-evaluated (e.g., `ruleId`).
        *   **Action Definition:** The action that should be executed if the conditions are still met.
        *   **Execution Timestamp:** The future date/time when the action should be considered for execution.
    *   This payload is then sent to a dedicated, persistent job scheduling system (such as a message queue with delayed delivery capabilities or a database-backed job scheduler).

2.  **Executing the Delayed Action:**
    *   When the delay expires, the job scheduling system will trigger a worker with the job payload.
    *   The worker will use the **Primary Identifiers** from the payload to fetch the *latest* state of the relevant entities from their sources of truth (e.g., application database, CRM).
    *   With this fresh data, the worker will then re-evaluate the conditions of the original **Rule Context**.
    *   **If and only if** the rule conditions are still met with the fresh data, the worker will execute the final **Action Definition**.
    *   If the rule conditions are no longer met, the action is discarded, and the job is marked as complete without further processing.

This approach directly addresses the stated problems by ensuring that all decisions are made based on the most current data at the moment of execution, rather than potentially stale data from the past.","## Decision

We would need to detach the Event System and the Flow System from each other, thus removing the dependency on the runtime objects within an event.
Meaning the Actions must not have access to the original Events.

We would create a class `StorableFlow`, that can store the data in the original event as scalar values, and restore the original data based on this stored data.
```php
class StorableFlow
{
    // contains the scalar values based on the original events
    // $store can be serialized and used to restore the object data
    protected array $store = [];
    
    // contains the restored object data like the data we defined in the `availableData` in original events 
    // $data can not be serialized, but can be restored from $store
    protected array $data = [];
      
    public function __construct(array $store = [], array $data = [])
    {
        $this->store = $store;
        $this->data = $data;
    }
    
    // This method will be called in each `Storer` to store the representation of data
    public function setStore(string $key, $value) {
        $this->store[$key] = $value;
    }
    
    public function getStore(string $key) {
        return $this->store[$key];
    }
    
    // After we restored the data in `Storer`, we can set the data, we'll use `$this->data` instead getter data on original event
    public function setData(string $key, $value) {
        $this->data[$key] = $value;
    }
    
    public function getData(string $key) {
        return $this->data[$key];
    }
}
```

The `StorableFlow` class will be use on Flow Builder:

Before:

```php
class FlowDispatcher 
{
    public function dispatch(Event $event) {
        ...
        // Currently, dispatch on Flow Builder use the original event to execute the Flow 
        $this->callFlowExecutor($event);
        ...
    }
}
```

After:

```php
class FlowDispatcher 
{
    public function dispatch(Event $event) {
        ...
        // The `FlowFactory` will create/restore the `StorableFlow` from original event
        $flow = $this->flowFactory->create($event);
        // use the `StorableFlow` to execute the flow builder actions instead of the original events
        $this->execute($flow);
        ...
    }
}
```

* Flow Builder actions may no longer access the original event.
* Each Aware Interface gets its own `Storer` class to restore the data of Aware, so we have many `Storer` like `OrderStorer`, `MailStorer`, `CustomerStorer` ...
* The main task of a `Storer` is to restore the data from a scalar storage.
* The `Storer` provides a store function, in order to store itself the data, in order restore the object
* The `Storer` provides a restore function to restore the object using the store data.

```php
interface FlowStorer {}
```
Example for `OrderStorer`:

```php
class OrderStorer implements FlowStorer
{
    // This function to check the original event is the instanceof Aware interface, and store the representation.
    public function store(FlowEventAware $event, array $storedData): array 
    {
        if ($event instanceof OrderAware) {
            $storedData['orderId'] = $event->getOrderId();
        }
        
        return $storedData;
    }
    
    // This function is restore the data based on representation in `storedData`
    public function restore(StorableFlow $flow): void
    {
        if ($flow->hasStore('orderId')) {
            // allows to provide a closure for lazy data loading
            // this opens the opportunity to have lazy loading for big data
            // When we load the entity, we need to add the necessary associations for each entity
            $flow->lazy('order', [$this, 'load']);    
        }
        ...
    }
}
```

About the additional data defined in `availableData` in original events, that aren't defined in any Aware Interfaces and we can't restore that data in the `Storer`.
To cover the additional data from original events, we will have another `store` `AdditionalStorer` to store those data.
```php
class AdditionalStorer extends FlowStorer
{
    public function store(FlowEventAware $event, array $storedData)
    {
        ...
        // based on the `getAvailableData` in the original event to get the type of additional data
        $additionalDataTypes = $event::getAvailableData()->toArray();
        
        foreach ($additionalDataTypes as $key => $eventData) {
            // Check if the type of data is Entity or EntityCollection
            // in the $storedData, we only store the presentation like ['id' => id, 'entity' => entity], we'll restore the data in `AdditionalStorer::restore`
            if ($eventData['type'] === 'Entity' || 'EntityCollection') {
                $storedData[$key] = [
                    'id' => $event->getId(),
                    'entity' => Entity                 
                ];
            }
            
            // Check if the type of data is ScalarValueType
            if ($eventData['type'] === ScalarValueType) {
                $storedData[$key] = value
            }
            
            // start to implement /Serializable for ObjectType
            if ($eventData['type'] === ObjectType) {
                $storedData[$key] = value->serialize()
            }
            
            ...
        }
        
        ... 
        
        return $storedData;
    }
      
    // this function  make sure we can restore the additional data from original data are not covered in `Storer`
    // The additional data can be other entity, because the entities we defined in Aware interface like `order`, `customer` ... covered be `Storer`
    public function restore(StorableFlow $flow): void
    {
        if (type === entity) {
            // About the associations for entity data, mostly the additional entity data is the base entity, we don't need to add associations for this
            $flow->setData($key, $this->load());
        } else {
            $flow->setData($key, $flow->getStore($key));
        }
        ...
    }
}
```

About the associations for entity data, mostly the additional entity data is the base entity, we don't need to add associations for this.
About the `ObjectType` data, we enforce all values used in ObjectType implement /Serializable, and serialize the object before store to `$storedData`.

* Flow Builder actions only work with the `StorableFlow` instead of the `FlowEvent`. The `StorableFlow` will restore the data from original events via `Storer`,
  and the Actions can get the data via `getData($key)` from `StorableFlow` instead of `getAvailableData` from original events.

Before, in the flow actions still dependency Aware interfaces:

```php
    public function handle(StorableFlow $event) {
        ...
        $baseEvent = $event->getEvent();
    
        if ($baseEvent instanceof CustomerAware) {
            $customerId= $baseEvent->getCustomerId();
        }
        ...
    }
```
After in the flow actions:
```php
    public function handle(StorableFlow $event) {
        ...
        if ($event->hasStore('customerId') {
            $customerId= $event->getStore('customerId');
        }
        ...
    }
```

* `getAvailableData` must NOT be responsible for the access of the data.
* To create new or restore the `StorableFlow` by on the existing stored data, we need to provider the `FlowFactory`.
```php
class FlowFactory
{    
    ...
    public function create(FlowEventAware $event)
    {
        $storedData = [];
        foreach ($this->storer as $storer) {
            // Storer are responsible to move the corresponding 
            // data from the original event 
            $storer->store($event, $storedData);
        }
        
        return $this->restore($storedData);
    }
  
    public function restore(array $stored = [], array $data = [])
    {
        $flow = new StorableFlow($stored, $data);
      
        foreach ($this->storer as $storer) {
            $storer->restore($flow);
        }
  
        return $flow;
    }
    ...
}
```
But when executing a delayed actions, we won't have a `StorableFlow`, we just have the `$stored` from the previously stored `StorableFlow`,
and based on the `$stored`, we can restore a new `StorableFlow`.

Example in Delay Actions:

```php
// In handler delay actions -> put the actions to `queue`
$stored = json_encode($flow->stored());

$connection->executeStatement('INSERT INTO `swag_delay_action` (store) VALUES (:stored)...', ['stored' => $stored]);
```

```php
// In handler execute delay actions
$stored = 'SELECT store FROM `swag_delay_action` .... ';

$flow = $this->flowFactory->restore(json_decode($stored));
```"
"## Context

We need a different extension mechanism besides the well known plugins, that works in cloud and on-prem environments in the same way.
That's why we envisioned the app system, currently publicly available as a [plugin](https://github.com/shopware/app-system).
We were able to quickly develop the app system, gather feedback and iterate over ideas without being bound to the strict release workflow of the shopware platform.
That was the reason why we started working on the app system as a plugin in the first place.

Now as the app system matured, it is time to integrate the app system back into the platform.
This has the following benefits:
* It sends the signal to partners and potential app manufacturers that the app system is stable
* Partners / app manufacturers can rely on the shopware 6 release cycle and the according upgrade process
* Users don't need to install an extra plugin in order to use apps","## Decision 
We will integrate the app system, currently available as a plugin, into the Shopware platform core.

This decision is based on the maturity of the app system and aims to solidify its role as a first-class extension mechanism. The primary benefits are:
*   **Signaling Stability**: Integrating the app system into the core sends a strong signal to partners and app manufacturers that it is a stable and officially supported feature.
*   **Predictable Lifecycle**: Partners and app developers can rely on the established Shopware 6 release cycle and its corresponding upgrade process for the app system.
*   **Improved User Experience**: Merchants will no longer need to install a separate plugin to use apps, making the functionality available out-of-the-box and lowering the barrier to entry.

The initial strategy of developing the app system as a plugin was successful, allowing for rapid development and iteration. Now that the concept is proven, this integration represents the next logical step in its lifecycle. The standalone plugin will be deprecated.","## Decision

We will migrate the existing app system from the [plugin](https://github.com/shopware/app-system) into the platform. The app system will be part of the core bundle, analogous to the plugin system.
It will be moved to the `Shopware\Core\Framework\App` namespace."
"## Context
At the moment we have a bunch of different `FlowStorer` implementations. Most of them are used to store scalar values without any restore logic. Each of the Storer class has an own interface which is used to identify if the data of the event should be stored. This leads to much boilerplate code when adding new storer implementations or when plugins want to bypass some for events.","## Decision
We will deprecate the multitude of specific `FlowStorer` implementations and their corresponding interfaces.

In their place, we will introduce a single, generic, and configuration-driven `KeyValueFlowStorer`. This component will be responsible for the common case of extracting and storing scalar values from an event.

The behavior of this `KeyValueFlowStorer` will be defined by a collection of ""storage definitions"". Each definition is a simple data structure specifying:
1.  **key**: A unique string key under which the value will be stored.
2.  **source**: A path or expression to extract the desired value from the event data structure.
3.  **(Optional) conditions**: Predicates to determine if this definition should be applied to a given event.

This approach offers several advantages:
-   **Reduces Boilerplate**: Adding a new value to be stored no longer requires creating a new class and interface. It is simply a matter of adding a new data-driven definition to the configuration.
-   **Centralizes Logic**: The logic for storing simple values is consolidated into a single, well-tested component.
-   **Improves Extensibility**: Plugins can easily modify storage behavior by adding, removing, or altering definitions in the configuration list before it is processed. This is far simpler and more robust than checking for specific interface types to bypass them.

For complex scenarios where the value must be derived via logic and not simple extraction, a single, unified `CustomFlowStorer` interface will be provided. Implementations of this interface can be registered alongside the declarative definitions to handle edge cases, preserving flexibility while keeping the common path simple.","## Decision

We introduce a generic `ScalarValuesAware` interface which can be used to store simple values which should be simply stored and restored one to one:

```php
interface ScalarValuesAware
{
    public const STORE_VALUES = 'scalar_values';
    
    /** @return array<string, scalar|null|array> */
    public function getValues(): array;
}
```

This event can be used in different events which needs a simple storage logic:

```php
class SomeFlowAwareEvent extends Event implements ScalarStoreAware, FlowEventAware
{
    public function __construct(private readonly string $url) { }

    public function getValues(): array
    {
        return ['url' => $this->url];
    }
}
```

To store and restore this data, we provide a simple `FlowStorer` implementation:

```php

class ScalarValuesStorer extends FlowStorer
{
    public function store(FlowEventAware $event, array $stored): array
    {
        if (!$event instanceof ScalarValuesAware) return $stored

        $stored[ScalarValuesAware::STORE_VALUES] = $event->getValues();

        return $stored;
    }

    public function restore(StorableFlow $storable): void
    {
        $values = $storable->getStore(ScalarValuesAware::STORE_VALUES);
        foreach ($values as $key => $value) {
            $storable->setData($key, $value);
        }
    }
}
```"
"## Context
The current sw-text-editor in the administration has numerous low-level bugs in basic WYSIWYG features. It is built in a
way that is difficult to maintain and understand. Therefore, we require a new text editor that is easy to maintain, has
a good feature set, is flexible to extend and more stable.","## Decision
We will replace the current `sw-text-editor` with a new editor based on the TipTap framework.

TipTap is a modern, headless editor framework built on top of ProseMirror. This choice addresses the core requirements:

*   **Stability and Maintainability:** TipTap is actively maintained, well-documented, and based on the robust ProseMirror toolkit, which will resolve the low-level bugs and maintenance issues of the current editor.
*   **Flexibility and Extensibility:** Its headless nature and extensive API for creating custom extensions and nodes provide the flexibility we need for future features without being locked into a monolithic UI.
*   **Feature Set:** TipTap offers a rich set of pre-built extensions for all standard WYSIWYG features, ensuring a powerful and intuitive user experience out of the box.

The new implementation will be a drop-in replacement where possible, outputting clean, semantic HTML. It will be developed as a new component to allow for a gradual rollout, minimizing disruption.","## Decision
Building a new text editor from scratch is not a viable option. Therefore, we have evaluated various existing text 
editors and narrowed down our options to the following:

    - CKEditor 5
    - TinyMCE
    - QuillJS
    - Prosemirror
    - TipTap V2
    - Lexical

We have decided to skip CKEditor 5 and TinyMCE because they require a license for our use case and are not 100% open
source. Prosemirror was also ruled out because it provides only a low-level API and requires much more implementation 
time than the other editors. Additionally, Lexical is not a valid option for us since it is specialized for React 
environments and has no official support for VueJS.

The remaining two editors are TipTap V2 and QuillJS. Both have similar feature sets and APIs, but we have found some 
major differences between them. The first difference is that TipTap is a headless editor, which means that it only
provides the editor logic and requires a UI implementation. QuillJS, on the other hand, is a fully featured editor that
provides a UI out of the box. In our case, it is better to use a headless editor like TipTap because we can implement 
the UI to fit our needs, especially for several edge cases that are hard to implement in QuillJS.

The second major difference is in extensibility. TipTap's API is more flexible, allowing us to implement our own
features using the existing TipTap and ProseMirror plugins or build our own plugins. In most cases, the powerful main
TipTap API can already solve most of our use cases. QuillJS, on the other hand, is not as flexible as TipTap, and its
extension system is more complicated to use.

The third big difference is in stability. We found that TipTap is more stable than QuillJS, probably because TipTap is 
built on top of ProseMirror, which is a very stable and well-tested editor. Although QuillJS is also generally stable,
other developers have reported some issues with it in the past.

Our main decision driver was the extensibility of the editor. We want a text editor that is easy to extend and allows us
to implement our own features. TipTap provides a powerful extension system that is easy to use, and we can implement our
design without overwriting an existing design of other editors. Therefore, we have decided to use TipTap as the base of
our new text editor."
"## Context
The current implementation of the salutation in Shopware 6 needs to handle cases where the salutation is not specified by the customer or administrator. To address this requirement and promote inclusivity, we have updated the default salutation to ""not_specified"" for unspecified salutations in our Shopware 6 platform.","## Decision
We will change the default value for the salutation entity to `not_specified`.

This value will be used system-wide in all cases where a customer or administrator does not explicitly provide a salutation. This ensures that the system can gracefully handle unspecified salutations without forcing a potentially incorrect or non-inclusive choice.

All frontend components, email templates, and documents that use the salutation field must be updated to handle the `not_specified` case appropriately. For example, instead of rendering ""Dear not_specified Smith,"" the logic should be adjusted to render a more generic greeting like ""Hello John Smith.""

This change requires a migration for existing data where the salutation is currently `null` or an empty value to standardize them to the new `not_specified` default. This ensures data consistency across the platform.","## Decision
We have modified the existing salutation handling in Shopware 6 to update the default value to ""not_specified"" when the salutation is null. This decision was made based on the following considerations:

* Inclusivity: By offering a default salutation of ""not_specified"" for null values, we promote inclusivity and ensure that all customers are appropriately addressed, even when salutation data is missing.
* Customer Experience: Providing a default salutation ensures consistency in customer communications and prevents any confusion or misinterpretation when a salutation is not explicitly specified.
* Non-Deletable Default Salutation: It has been decided that the ""not_specified"" salutation, being the default value for unspecified salutations, should not be deletable by the shop owner. This ensures that there is always a fallback option available, guaranteeing a consistent experience for customers."
