context,decision,predicted_decision
"## Context

* Currently, the images/thumbnails inside the Storefront are not making use of any lazy loading mechanism. 
* Without a third-party extension which includes something like ""lazysizes"" it is not possible to get lazy loading images.
* Native lazy loading of images is available in current browsers, see: https://caniuse.com/?search=loading","## Decision

We will implement native lazy loading for images and thumbnails in the Storefront using the HTML `loading=""lazy""` attribute on `<img>` tags.

**Rationale:**

1. **No external dependencies**: Native lazy loading eliminates the need for third-party libraries like ""lazysizes"", reducing bundle size and maintenance overhead.

2. **Browser support**: Modern browsers have broad support for the `loading` attribute, covering the majority of user agents accessing web storefronts.

3. **Progressive enhancement**: Browsers that don't support native lazy loading will simply load images normally, ensuring no degradation of functionality.

4. **Performance benefit**: Lazy loading reduces initial page load time and bandwidth consumption by deferring the loading of off-screen images until they are needed.

5. **Simplicity**: The implementation is straightforward - adding the `loading=""lazy""` attribute requires minimal code changes and is easier to maintain than a custom solution.

**Implementation approach:**

- Apply `loading=""lazy""` to all product images and thumbnails in the Storefront component templates
- Consider applying `loading=""lazy""` selectively to above-the-fold images if they are critical to initial page rendering
- Test across target browsers to ensure consistent behavior

**Future reconsideration:**

If browser support metrics change or performance testing reveals limitations of native lazy loading for our use case, we can revisit this decision and consider hybrid approaches or third-party solutions.","## Decision

* We want to make use of native lazy loading for images in the Storefront without adding additional JavaScript logic."
"## Context

When using the `OneToOneAssociationField` & `ManyToOneAssociationField` associations it is possible to specify the parameter `autoload` as `true`. This causes the association to be loaded with every query, regardless of whether the data is used or not.

This is a performance issue due to unnecessary data transfer, it slows down SQL queries with extra joins, slows the application down with hydrating and data processing and finally, API payloads are larger than they need to be.","## Decision

We will deprecate the `autoload` parameter on `OneToOneAssociationField` and `ManyToOneAssociationField` in favor of explicit lazy-loading mechanisms.

**Rationale:**

1. **Performance**: The `autoload=true` default encourages unnecessary data transfer and SQL joins, increasing query latency and network overhead.

2. **Principle of Least Surprise**: Associations should not be loaded unless explicitly requested by the developer. Implicit loading violates the principle of transparency—developers may not realize why their queries are slow or why API payloads are larger than expected.

3. **Modularity and Configurability**: Explicit lazy-loading allows each use case to specify its own loading strategy, supporting Arachne's goal of high configurability without imposing defaults that harm performance.

4. **Transparency**: Making association loading explicit in the code makes the application's behavior more transparent and introspectable—developers can easily see what data is being fetched and why.

**Migration Path:**

1. Mark `autoload` as deprecated with clear warnings
2. Provide explicit lazy-loading alternatives (e.g., `load_association()` or query-time inclusion specifications)
3. In a future major version, remove the `autoload` parameter entirely
4. Update documentation and examples to demonstrate best practices for association loading

**Exceptions:**

Cases where eager loading is genuinely necessary should be handled through explicit, opt-in mechanisms that make the performance implications clear to the developer.","## Decision

We will deprecate the usage of autoload === true in the core codebase in version 6.5. All usages in entity definitions should be removed by the time 6.6 is released.

We have introduced a new PHPStan rule which will check for any usages of autoload === true and fail if it finds any. The failures are currently ignored in the `phpstan.neon.dist` file until they can be fixed by the respective teams."
"## Context
Currently, our ADRs are grouped into folders according to different areas. We have added this structure to help people find their way around when they are looking for specific ADRs.

However, there are different approaches when searching for ADRs:
1) I am looking for an ADR and I know the headline.
2) I would like to read the latest ADRs
3) I would like to see ADRs for a specific area.
4) ...

The structuring by areas is good for case 3, but not for the other two. In the first case, the user can easily use the search via the directory to use the appropriate ADR, but will also get duplicate matches. Depending on the keyword the result can be quite long.

In the second case, I would like to read the latest ADRs, the user would have to go to git history, which is only possible via shell or IDE.","## Decision
We will maintain a **flat, chronologically-ordered index** of all ADRs as the primary discovery mechanism, while preserving the existing **thematic folder structure** as a secondary organizational layer.

Specifically:
1. **Primary index**: A master `ADR_INDEX.md` file (or similar) at the root of the ADRs directory, listing all ADRs in reverse chronological order (newest first) with their title, status, and a one-line summary. This enables easy browsing of recent decisions and provides a single searchable entry point.

2. **Thematic folders**: Retain the existing area-based folder structure (`/core`, `/modules`, `/infrastructure`, etc.) for those who want to explore decisions within a specific domain.

3. **Dual references**: Each ADR file will include:
   - Its thematic folder location (for domain-specific browsing)
   - A reference number or timestamp in the filename (for chronological ordering)

4. **Navigation**: Include cross-references in the index that link to:
   - The full ADR text
   - Related ADRs (via references or thematic grouping)
   - Superseded ADRs (when applicable)

This approach satisfies all search patterns:
- **Case 1** (headline search): Query the index or use text search across the flat list
- **Case 2** (latest ADRs): Scan the chronological index without needing git history
- **Case 3** (area-specific): Navigate to the appropriate thematic folder
- **Case 4+** (other discovery): Use index navigation and cross-references","## Decision

We will remove the area structure on directory level and introduce front matter in our ADRs as we already do in our changelog files. This makes it possible to extract metadata from content. Additionally, it can be used as groundwork, if we want to release our ADRs in different front-ends (handbook, dev-docs) and use the front-end's search functionalities.
With front matter and the flat file structure, you can solve all three problems described in this ADR. An example of this specific ADR would be:

```markdown
---
title: Unstructured ADRs
date: 2023-02-23
area: Product Operation #I added prod-ops because this is a workflow topic
tags: [ADR, file structure, workflow]
---
```

We also hope that this will make it easier for people to submit ADRs without being confused about which folder to put the file in."
"## Context
Our current plugin extension system for the administration is based on our Component Factory. This factory generates native Vue components at runtime based on a base Shopware component which can be extended or overwritten by plugins. This approach offers flexibility to plugin developers to modify every component. For the template part, we use Twig.JS and compile the Vue template in the client at runtime.

However, this approach has its drawbacks. We cannot use the full power of Vue and its ecosystem because everything related to Vue is wrapped with our factories and generated at runtime. We cannot use Vue tools without custom modifications, like linting template files, providing good static analysis, and more. The other downside is that upgrading Vue is challenging, and the performance suffers because we cannot precompile components.

To address these issues, we aimed to test a new idea with Vue 3, which includes all the features of the existing plugin approach, but developed using only native Vue tools. This would offer several benefits, like using the full power of Vue, better performance, better static analysis, and more.

Our main idea for the template part was to use native Vue components named sw-block that can replace the Twig.JS template part. Plugin developers can extend or overwrite the sw-block component as needed.

```html
<sw-block name=""sw-hello-world"">
<div>Hello World</div>
</sw-block>
```

For the script and logic part, we aimed to use the Composition API. Before returning all the component data and methods, we would provide a hook point for plugins so they could modify or inject everything they want.

```js
// The original component
<script setup lang=""ts"">
// Hook for providing extensibility
useExtensibility();
</script>

// The plugin component
<script lang=""ts"">
    import SwOrignal from './sw-original.vue';
    // use our extensibility helpers
    import { useComponentExtender, getPropsFromComponent } from 'sw-vue-extensbiles';
    
    const myCustomData = ref('test');
    
    export default {
        name: 'sw-extended-component',
        props: {
            ...getPropsFromComponent(SwOrignal)
        },
        setup(props, context) {
            return {
                ...useComponentExtender(SwOrignal, props, context),
                myCustomData
            }   
        }
}
</script>
```

However, during the evaluation and testing, we realized that this approach was not feasible due to several reasons. The most critical challenges were that it was hard to merge data because the Vue compiler optimizes many parts of the component, and it was not easy to pass all the data of the component to the block system to give plugin developers full access to the original component's data.

To solve these problems, we would need to use internal Vue logic, which is not update-safe and could break with every Vue update.","## Decision

We will continue using our Component Factory pattern as the primary extension mechanism for the administration plugin system, rather than migrating to native Vue 3 components with runtime hooks.

### Rationale

While native Vue 3 components offer theoretical advantages (full ecosystem access, better tooling, improved performance), the practical implementation challenges outweigh these benefits:

1. **Compiler Optimization Conflicts**: Vue's compiler optimizations make it difficult to reliably intercept and merge component data at runtime, which is essential for plugin extensibility.

2. **Data Access Limitations**: There is no reliable, update-safe way to expose all of a component's internal state and methods to the plugin system without relying on Vue internals that change between versions.

3. **Maintenance Burden**: Working around Vue internals creates a fragile dependency chain where each Vue upgrade requires re-evaluating and potentially rewriting extension mechanisms.

4. **Stability Over Performance**: The current factory-based approach, while not leveraging full Vue capabilities, provides a stable and predictable extension layer that plugin developers can rely on across upgrades.

### Recommendation for Future Improvements

Rather than a wholesale migration, we should:
- Investigate incremental adoption of Vue 3 features within the existing factory pattern
- Explore whether future Vue versions provide official extension APIs suitable for plugin systems
- Continue optimizing the current approach's performance (e.g., pre-compiling Twig templates where possible)
- Document the architectural constraints clearly so plugin developers understand the trade-offs

This preserves stability and plugin ecosystem compatibility while remaining open to future improvements as Vue and its tooling ecosystem evolve.","## Decision
After considering the challenges we faced with the proposed solution, we concluded that we couldn't find solutions without using internal Vue logic. Given this situation, we did not see any significant benefits to adopting a native Vue solution over our current plugin system, which, despite its challenges, has proven to work well for our use case.

Therefore, we decided to stick with our current plugin system for the administration until new possibilities arise in Vue that solve our problems."
"## Context
The current workflow for writing technical changelog is not very suited for a trunk based development and branching process. There are some major issues with the current workflow of using one file with a fixed version number:

*  Unnecessary merge conflicts in the changelog file
*  Uncertainty about the correct release version of the change
*  Differences between the issue state in Jira and the code state

To tackle these issues the technique for writing technical changelog and upgrade information, should be changed to a single solution, which is easy to understand and maintain by developers.","## Decision 
We will adopt a ""changelog fragments"" approach where each change is documented in a separate file rather than a single monolithic changelog file.

The workflow will be:
1. When a developer makes a change that should be documented (bug fix, feature, breaking change, etc.), they create a new file in a designated `changelog/fragments/` directory.
2. Each fragment file is named using a scheme that includes: a unique identifier (PR number, issue number, or timestamp), a fragment type (feature, bugfix, breaking, etc.), and a `.md` extension. Example: `123-feature-new-api.md`
3. Each fragment contains:
   - A clear, user-facing description of the change
   - The type/category of change
   - Any relevant metadata (author, date, affected components)
4. Fragment files are committed alongside the code changes that implement them, reducing merge conflicts since each change gets its own file.
5. At release time, a build process automatically collates all fragments in the `changelog/fragments/` directory into a final changelog entry for that release version.
6. After collation, processed fragments are archived or removed, keeping the fragments directory clean for the next release cycle.

**Benefits:**
- Eliminates merge conflicts on a single changelog file
- Release version is determined at release time, not during development
- Creates a one-to-one mapping between code changes and documentation
- Keeps changelog documentation close to implementation in the development workflow","## Decision
The changelog and upgrade files for a release should be autogenerated in the build process of the release. Developers should write technical changelog and upgrade information in separate markdown files."
"## Context

The actions in Flow Builder are listening for Business Events. We want to implement the flow DelayAction in Flow Builder,
that means the actions can be delayed, and will be executed after  a set amount of time.
But we have some problems after the action was delayed:
* Events may contain old data, that data may be updated during the delay, and currently we don't have any way to restore
    the data.
* After a delay the rules have to be re-evaluated, but the data in the rules could be outdated or changed, so the rules
    have to be reloaded as well. Or the rules do not exist anymore.","## Decision

We will implement the DelayAction in Flow Builder by capturing and persisting the complete application state at the time of delay, and restoring that state when the delayed action resumes execution.

Specifically:

1. **State Capture**: When a DelayAction is encountered, we will serialize the entire relevant application configuration and business entity state into the delay record. This includes:
   - The current configuration schema and values
   - All business entity data referenced in the action and its dependent rules
   - The state of any rules that will be re-evaluated after the delay

2. **State Restoration**: When the delay period expires and the action resumes:
   - We will restore the captured state to evaluate the delayed action against the data as it existed at delay time
   - We will re-evaluate rules using the restored state, not the current live state
   - This ensures consistent, predictable behavior regardless of what changes occurred during the delay period

3. **Explicit State Versioning**: The delay record will include a version identifier that ties it to a specific point-in-time snapshot of the application configuration. This allows us to:
   - Handle cases where rules no longer exist (by referencing the captured rule definition)
   - Detect schema changes and handle them explicitly
   - Provide transparency into what state was assumed when the delayed action executes

4. **Trade-off Acceptance**: We acknowledge this approach uses more storage and processing than alternatives, but this cost is justified by our goal of transparency and introspectability - delayed actions will behave predictably and the rationale will be clear.","## Decision

We would need to detach the Event System and the Flow System from each other, thus removing the dependency on the runtime objects within an event.
Meaning the Actions must not have access to the original Events.

We would create a class `StorableFlow`, that can store the data in the original event as scalar values, and restore the original data based on this stored data.
```php
class StorableFlow
{
    // contains the scalar values based on the original events
    // $store can be serialized and used to restore the object data
    protected array $store = [];
    
    // contains the restored object data like the data we defined in the `availableData` in original events 
    // $data can not be serialized, but can be restored from $store
    protected array $data = [];
      
    public function __construct(array $store = [], array $data = [])
    {
        $this->store = $store;
        $this->data = $data;
    }
    
    // This method will be called in each `Storer` to store the representation of data
    public function setStore(string $key, $value) {
        $this->store[$key] = $value;
    }
    
    public function getStore(string $key) {
        return $this->store[$key];
    }
    
    // After we restored the data in `Storer`, we can set the data, we'll use `$this->data` instead getter data on original event
    public function setData(string $key, $value) {
        $this->data[$key] = $value;
    }
    
    public function getData(string $key) {
        return $this->data[$key];
    }
}
```

The `StorableFlow` class will be use on Flow Builder:

Before:

```php
class FlowDispatcher 
{
    public function dispatch(Event $event) {
        ...
        // Currently, dispatch on Flow Builder use the original event to execute the Flow 
        $this->callFlowExecutor($event);
        ...
    }
}
```

After:

```php
class FlowDispatcher 
{
    public function dispatch(Event $event) {
        ...
        // The `FlowFactory` will create/restore the `StorableFlow` from original event
        $flow = $this->flowFactory->create($event);
        // use the `StorableFlow` to execute the flow builder actions instead of the original events
        $this->execute($flow);
        ...
    }
}
```

* Flow Builder actions may no longer access the original event.
* Each Aware Interface gets its own `Storer` class to restore the data of Aware, so we have many `Storer` like `OrderStorer`, `MailStorer`, `CustomerStorer` ...
* The main task of a `Storer` is to restore the data from a scalar storage.
* The `Storer` provides a store function, in order to store itself the data, in order restore the object
* The `Storer` provides a restore function to restore the object using the store data.

```php
interface FlowStorer {}
```
Example for `OrderStorer`:

```php
class OrderStorer implements FlowStorer
{
    // This function to check the original event is the instanceof Aware interface, and store the representation.
    public function store(FlowEventAware $event, array $storedData): array 
    {
        if ($event instanceof OrderAware) {
            $storedData['orderId'] = $event->getOrderId();
        }
        
        return $storedData;
    }
    
    // This function is restore the data based on representation in `storedData`
    public function restore(StorableFlow $flow): void
    {
        if ($flow->hasStore('orderId')) {
            // allows to provide a closure for lazy data loading
            // this opens the opportunity to have lazy loading for big data
            // When we load the entity, we need to add the necessary associations for each entity
            $flow->lazy('order', [$this, 'load']);    
        }
        ...
    }
}
```

About the additional data defined in `availableData` in original events, that aren't defined in any Aware Interfaces and we can't restore that data in the `Storer`.
To cover the additional data from original events, we will have another `store` `AdditionalStorer` to store those data.
```php
class AdditionalStorer extends FlowStorer
{
    public function store(FlowEventAware $event, array $storedData)
    {
        ...
        // based on the `getAvailableData` in the original event to get the type of additional data
        $additionalDataTypes = $event::getAvailableData()->toArray();
        
        foreach ($additionalDataTypes as $key => $eventData) {
            // Check if the type of data is Entity or EntityCollection
            // in the $storedData, we only store the presentation like ['id' => id, 'entity' => entity], we'll restore the data in `AdditionalStorer::restore`
            if ($eventData['type'] === 'Entity' || 'EntityCollection') {
                $storedData[$key] = [
                    'id' => $event->getId(),
                    'entity' => Entity                 
                ];
            }
            
            // Check if the type of data is ScalarValueType
            if ($eventData['type'] === ScalarValueType) {
                $storedData[$key] = value
            }
            
            // start to implement /Serializable for ObjectType
            if ($eventData['type'] === ObjectType) {
                $storedData[$key] = value->serialize()
            }
            
            ...
        }
        
        ... 
        
        return $storedData;
    }
      
    // this function  make sure we can restore the additional data from original data are not covered in `Storer`
    // The additional data can be other entity, because the entities we defined in Aware interface like `order`, `customer` ... covered be `Storer`
    public function restore(StorableFlow $flow): void
    {
        if (type === entity) {
            // About the associations for entity data, mostly the additional entity data is the base entity, we don't need to add associations for this
            $flow->setData($key, $this->load());
        } else {
            $flow->setData($key, $flow->getStore($key));
        }
        ...
    }
}
```

About the associations for entity data, mostly the additional entity data is the base entity, we don't need to add associations for this.
About the `ObjectType` data, we enforce all values used in ObjectType implement /Serializable, and serialize the object before store to `$storedData`.

* Flow Builder actions only work with the `StorableFlow` instead of the `FlowEvent`. The `StorableFlow` will restore the data from original events via `Storer`,
  and the Actions can get the data via `getData($key)` from `StorableFlow` instead of `getAvailableData` from original events.

Before, in the flow actions still dependency Aware interfaces:

```php
    public function handle(StorableFlow $event) {
        ...
        $baseEvent = $event->getEvent();
    
        if ($baseEvent instanceof CustomerAware) {
            $customerId= $baseEvent->getCustomerId();
        }
        ...
    }
```
After in the flow actions:
```php
    public function handle(StorableFlow $event) {
        ...
        if ($event->hasStore('customerId') {
            $customerId= $event->getStore('customerId');
        }
        ...
    }
```

* `getAvailableData` must NOT be responsible for the access of the data.
* To create new or restore the `StorableFlow` by on the existing stored data, we need to provider the `FlowFactory`.
```php
class FlowFactory
{    
    ...
    public function create(FlowEventAware $event)
    {
        $storedData = [];
        foreach ($this->storer as $storer) {
            // Storer are responsible to move the corresponding 
            // data from the original event 
            $storer->store($event, $storedData);
        }
        
        return $this->restore($storedData);
    }
  
    public function restore(array $stored = [], array $data = [])
    {
        $flow = new StorableFlow($stored, $data);
      
        foreach ($this->storer as $storer) {
            $storer->restore($flow);
        }
  
        return $flow;
    }
    ...
}
```
But when executing a delayed actions, we won't have a `StorableFlow`, we just have the `$stored` from the previously stored `StorableFlow`,
and based on the `$stored`, we can restore a new `StorableFlow`.

Example in Delay Actions:

```php
// In handler delay actions -> put the actions to `queue`
$stored = json_encode($flow->stored());

$connection->executeStatement('INSERT INTO `swag_delay_action` (store) VALUES (:stored)...', ['stored' => $stored]);
```

```php
// In handler execute delay actions
$stored = 'SELECT store FROM `swag_delay_action` .... ';

$flow = $this->flowFactory->restore(json_decode($stored));
```"
"## Context

We need a different extension mechanism besides the well known plugins, that works in cloud and on-prem environments in the same way.
That's why we envisioned the app system, currently publicly available as a [plugin](https://github.com/shopware/app-system).
We were able to quickly develop the app system, gather feedback and iterate over ideas without being bound to the strict release workflow of the shopware platform.
That was the reason why we started working on the app system as a plugin in the first place.

Now as the app system matured, it is time to integrate the app system back into the platform.
This has the following benefits:
* It sends the signal to partners and potential app manufacturers that the app system is stable
* Partners / app manufacturers can rely on the shopware 6 release cycle and the according upgrade process
* Users don't need to install an extra plugin in order to use apps","## Decision 
We will integrate the app system from the publicly available plugin into the core Shopware 6 platform.

## Rationale
The app system has matured sufficiently through its development as an independent plugin to warrant integration into the core platform. This integration serves multiple stakeholders:

**For Partners & App Manufacturers:**
- Provides stability guarantee through association with core platform
- Enables reliance on the official Shopware 6 release cycle and upgrade process
- Ensures consistent versioning and support timelines

**For End Users:**
- Eliminates the need to install a separate plugin as a prerequisite
- Simplifies onboarding and reduces friction for app adoption
- Provides a unified, first-class experience for app management

**For the Project:**
- Signals maturity and commitment to the app system as a primary extension mechanism
- Aligns with the vision of supporting both cloud and on-premises deployments equally
- Consolidates the extension ecosystem around a single, platform-supported approach

## Consequences
- The plugin version will be deprecated in favor of the core integration
- Documentation and migration guides will be required for existing plugin users
- The app system will follow the standard Shopware 6 release and support cycle
- Future app system development will be bound to the platform's release workflow","## Decision

We will migrate the existing app system from the [plugin](https://github.com/shopware/app-system) into the platform. The app system will be part of the core bundle, analogous to the plugin system.
It will be moved to the `Shopware\Core\Framework\App` namespace."
"## Context
At the moment we have a bunch of different `FlowStorer` implementations. Most of them are used to store scalar values without any restore logic. Each of the Storer class has an own interface which is used to identify if the data of the event should be stored. This leads to much boilerplate code when adding new storer implementations or when plugins want to bypass some for events.","## Decision

We will consolidate the `FlowStorer` implementations by introducing a unified, data-driven approach to storage configuration and filtering.

**Approach:**

1. **Single Unified Interface**: Replace multiple `FlowStorer` interfaces with a single, generic `FlowStorer` interface that accepts a configuration map defining:
   - Storage backend type (scalar, document, etc.)
   - Filter predicates for determining what events should be stored
   - Serialization/deserialization strategies
   - Restore logic (if any)

2. **Configuration-Based Filtering**: Move storage filtering logic from individual class implementations into declarative configuration data. This will include:
   - Event type matchers
   - Conditional predicates
   - Bypass rules for plugins

3. **Plugin Extension Points**: Allow plugins to contribute storage configuration without requiring new `FlowStorer` class implementations. Plugins will define their storage needs as data that gets merged into the application's configuration schema.

4. **Reduce Boilerplate**: By encoding storage behavior as configuration rather than code, adding new storer implementations or modifying storage rules will require minimal boilerplate.

**Rationale:**

This approach aligns with Arachne's ""everything is data"" philosophy, making storage behavior transparent, introspectable, and configurable. It reduces coupling between modules, eliminates the need for multiple interface implementations, and allows plugins to customize storage behavior declaratively without modifying core code.","## Decision

We introduce a generic `ScalarValuesAware` interface which can be used to store simple values which should be simply stored and restored one to one:

```php
interface ScalarValuesAware
{
    public const STORE_VALUES = 'scalar_values';
    
    /** @return array<string, scalar|null|array> */
    public function getValues(): array;
}
```

This event can be used in different events which needs a simple storage logic:

```php
class SomeFlowAwareEvent extends Event implements ScalarStoreAware, FlowEventAware
{
    public function __construct(private readonly string $url) { }

    public function getValues(): array
    {
        return ['url' => $this->url];
    }
}
```

To store and restore this data, we provide a simple `FlowStorer` implementation:

```php

class ScalarValuesStorer extends FlowStorer
{
    public function store(FlowEventAware $event, array $stored): array
    {
        if (!$event instanceof ScalarValuesAware) return $stored

        $stored[ScalarValuesAware::STORE_VALUES] = $event->getValues();

        return $stored;
    }

    public function restore(StorableFlow $storable): void
    {
        $values = $storable->getStore(ScalarValuesAware::STORE_VALUES);
        foreach ($values as $key => $value) {
            $storable->setData($key, $value);
        }
    }
}
```"
"## Context
The current sw-text-editor in the administration has numerous low-level bugs in basic WYSIWYG features. It is built in a
way that is difficult to maintain and understand. Therefore, we require a new text editor that is easy to maintain, has
a good feature set, is flexible to extend and more stable.","## Decision
We will replace the current sw-text-editor with a modern, well-maintained rich text editor library that meets the following criteria:

1. **Stability and Maintenance**: The new editor must be actively maintained by its community/maintainers, with a proven track record of stability and bug fixes for core WYSIWYG functionality.

2. **Code Quality and Maintainability**: The codebase must be well-documented, follow clear architectural patterns, and be comprehensible to our development team. We will prioritize libraries with clear separation of concerns and minimal ""magic.""

3. **Feature Set**: The editor must support essential WYSIWYG features including text formatting (bold, italic, underline), lists, links, and other common rich text operations without requiring extensive customization.

4. **Extensibility**: The library must provide a clear, documented API for adding custom functionality, plugins, or extensions without requiring deep modifications to the core library code.

5. **Integration**: The new editor must integrate cleanly with our existing administration interface with minimal coupling to other system components.

## Rationale
- The current implementation's low-level bugs and difficult maintenance indicate a fundamental architectural mismatch or poor code quality that will continue to cause issues.
- Adopting a battle-tested third-party library reduces maintenance burden and allows our team to focus on domain-specific customizations rather than reinventing basic editor functionality.
- This aligns with Arachne's modularity goal, allowing the editor to be a well-defined, swappable component.","## Decision
Building a new text editor from scratch is not a viable option. Therefore, we have evaluated various existing text 
editors and narrowed down our options to the following:

    - CKEditor 5
    - TinyMCE
    - QuillJS
    - Prosemirror
    - TipTap V2
    - Lexical

We have decided to skip CKEditor 5 and TinyMCE because they require a license for our use case and are not 100% open
source. Prosemirror was also ruled out because it provides only a low-level API and requires much more implementation 
time than the other editors. Additionally, Lexical is not a valid option for us since it is specialized for React 
environments and has no official support for VueJS.

The remaining two editors are TipTap V2 and QuillJS. Both have similar feature sets and APIs, but we have found some 
major differences between them. The first difference is that TipTap is a headless editor, which means that it only
provides the editor logic and requires a UI implementation. QuillJS, on the other hand, is a fully featured editor that
provides a UI out of the box. In our case, it is better to use a headless editor like TipTap because we can implement 
the UI to fit our needs, especially for several edge cases that are hard to implement in QuillJS.

The second major difference is in extensibility. TipTap's API is more flexible, allowing us to implement our own
features using the existing TipTap and ProseMirror plugins or build our own plugins. In most cases, the powerful main
TipTap API can already solve most of our use cases. QuillJS, on the other hand, is not as flexible as TipTap, and its
extension system is more complicated to use.

The third big difference is in stability. We found that TipTap is more stable than QuillJS, probably because TipTap is 
built on top of ProseMirror, which is a very stable and well-tested editor. Although QuillJS is also generally stable,
other developers have reported some issues with it in the past.

Our main decision driver was the extensibility of the editor. We want a text editor that is easy to extend and allows us
to implement our own features. TipTap provides a powerful extension system that is easy to use, and we can implement our
design without overwriting an existing design of other editors. Therefore, we have decided to use TipTap as the base of
our new text editor."
"## Context
The current implementation of the salutation in Shopware 6 needs to handle cases where the salutation is not specified by the customer or administrator. To address this requirement and promote inclusivity, we have updated the default salutation to ""not_specified"" for unspecified salutations in our Shopware 6 platform.","## Decision
We will change the default salutation value in Shopware 6 from a binary choice (e.g., ""Mr."" or ""Ms."") to a new inclusive default option: ""not_specified"".

### Context
- The current implementation requires a salutation to be assigned to every customer or administrative user
- Many customers prefer not to disclose or specify their salutation
- The existing binary salutation options do not accommodate non-binary or non-traditional gender expressions
- Supporting an explicit ""not_specified"" option promotes inclusivity and respects customer privacy

### Rationale
1. **Inclusivity**: Allows customers who don't identify with traditional salutation options to proceed without friction
2. **Privacy**: Respects customer choice to withhold personal information about gender identity or expression
3. **Data Accuracy**: More accurately reflects customer preferences rather than forcing arbitrary selections
4. **Business Continuity**: Existing customers with specified salutations remain unaffected; this only changes the default for new entries

### Consequences
- Customer-facing communications may need to handle ""not_specified"" salutations gracefully (e.g., ""Dear Customer"" instead of ""Dear Mr./Ms."")
- Any reporting or analytics that assumes salutation values will need to account for the new option
- Third-party integrations may need updates to handle the new salutation type
- Documentation should be updated to reflect this change

### Status
Proposed","## Decision
We have modified the existing salutation handling in Shopware 6 to update the default value to ""not_specified"" when the salutation is null. This decision was made based on the following considerations:

* Inclusivity: By offering a default salutation of ""not_specified"" for null values, we promote inclusivity and ensure that all customers are appropriately addressed, even when salutation data is missing.
* Customer Experience: Providing a default salutation ensures consistency in customer communications and prevents any confusion or misinterpretation when a salutation is not explicitly specified.
* Non-Deletable Default Salutation: It has been decided that the ""not_specified"" salutation, being the default value for unspecified salutations, should not be deletable by the shop owner. This ensures that there is always a fallback option available, guaranteeing a consistent experience for customers."
